symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,Payables,PrepaidAssets,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable
SHRIRAMFIN.NS,2023-03-31,3M,INR,3131900000.0,-10068300000.0,174501500000.0,66256600000.0,13773500000.0,3744300000.0,104903600000.0,4997200000.0,1583000000.0,3744300000.0,435128600000.0,94500000.0,6207200000.0,17409400000.0,30254800000.0,17583100000.0,1715993900000.0,26200000.0,79166800000.0,81004200000.0,1837400000.0,6100000.0,1286886100000.0,1837400000.0,3794700000.0,2866800000.0,1175961700000.0,7514800000.0,404873800000.0,374427276.0,1998400000.0,12845400000.0,6482500000.0,8800000.0,11317800000.0,363000000.0,4553200000.0,156999500000.0,374427276.0,435128600000.0,404873800000.0,10557900000.0,2106001500000.0,1715993900000.0,1286886100000.0,437995400000.0,1668006100000.0,1608900000.0
SHRIRAMFIN.NS,2023-09-30,3M,INR,3463300000.0,,,82154600000.0,,3753500000.0,111592900000.0,,,3753500000.0,463066300000.0,,,17409400000.0,29218700000.0,8296400000.0,1792869000000.0,10100000.0,85027400000.0,85027400000.0,,,1336363900000.0,,,3067200000.0,1218209800000.0,8296400000.0,433847600000.0,375347083.0,,11809300000.0,8500000.0,8296400000.0,6108600000.0,,3566500000.0,,375347083.0,463066300000.0,433847600000.0,7383400000.0,2233609600000.0,1792869000000.0,1336363900000.0,466133500000.0,1767476100000.0,2636800000.0
