symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
TATAELXSI.NS,2023-03-31,3M,INR,1031703000.0,8566590000.0,-2112373000.0,-79873000.0,8537000.0,2818723000.0,1822640000.0,622764000.0,1338917000.0,11813917000.0,200000000.0,1138917000.0,622764000.0,20857671000.0,71058000.0,23134896000.0,285372000.0,285372000.0,440122000.0,454912000.0,4785555000.0,18176000.0,101612000.0,3862000.0,162020000.0,8646463000.0,5357355000.0,20257000.0,3862000.0,20857671000.0,8537000.0,97986000.0,1537268000.0,1537268000.0,454532000.0,2143658000.0,3244982000.0,20695651000.0,128883000.0,454532000.0,683308000.0,62276440.0,977079000.0,549286000.0,,162020000.0,8582000.0,7710000.0,225930000.0,1639744000.0,10475000000.0,1141025000.0,1073244000.0,466427000.0,0.0,101612000.0,19075307000.0,62276440.0,20857671000.0,20695651000.0,82365000.0,27635026000.0,20857671000.0,1822640000.0,20857671000.0,6777355000.0,4500130000.0,1991800000.0,454912000.0,18349341000.0
TATAELXSI.NS,2023-09-30,3M,INR,966210000.0,7334138000.0,,,1068241000.0,,2373092000.0,622764000.0,1367116000.0,12177212000.0,,,622764000.0,20963620000.0,101128000.0,22534065000.0,380044000.0,380044000.0,,,4608366000.0,320398000.0,,,142487000.0,,3796504000.0,,2108000.0,20963620000.0,1068241000.0,,1993048000.0,1993048000.0,,,3796504000.0,20821133000.0,191083000.0,562002000.0,,62276440.0,1506747000.0,1445648000.0,20340856000.0,,46905000.0,,3695376000.0,1513860000.0,10810096000.0,1545293000.0,,,,,,62276440.0,20963620000.0,20821133000.0,,28127036000.0,20963620000.0,2373092000.0,20963620000.0,7163416000.0,5592971000.0,2555050000.0,579083000.0,17925699000.0
