symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
TATAPOWER.NS,2023-03-31,3M,INR,74072000000.0,69521500000.0,-273333100000.0,40552400000.0,-10158500000.0,32999400000.0,12996600000.0,38306200000.0,39485700000.0,3195600000.0,41897600000.0,53393600000.0,19861500000.0,22036100000.0,3195600000.0,287874300000.0,53763600000.0,310914200000.0,4378700000.0,182660300000.0,187039000000.0,11100000.0,440927800000.0,3110700000.0,237000000.0,15500000.0,5918700000.0,18583100000.0,32396500000.0,79680000000.0,912166800000.0,1150700000.0,39428800000.0,777619500000.0,13012100000.0,32739700000.0,35107000000.0,307084900000.0,342191900000.0,142188800000.0,14200200000.0,572777300000.0,54166900000.0,447847600000.0,638833700000.0,255477800000.0,106555100000.0,2529000000.0,19193700000.0,27701700000.0,3196991847.0,13287200000.0,46185300000.0,284678700000.0,13813400000.0,15700000.0,84334300000.0,12759800000.0,55739500000.0,214580000000.0,26334000000.0,11496000000.0,132228100000.0,17359700000.0,0.0,33424500000.0,70167700000.0,207701200000.0,3196991847.0,287874300000.0,255477800000.0,2700000.0,1283488900000.0,594959200000.0,529230900000.0,342041200000.0,941447700000.0,972574700000.0,500519900000.0,2179600000.0,5619200000.0,69900000.0,-130013600000.0
TATAPOWER.NS,2023-09-30,3M,INR,102875500000.0,73807000000.0,,,,33295200000.0,33702500000.0,,41674200000.0,3195600000.0,34845600000.0,114065300000.0,,,3195600000.0,301363100000.0,71992400000.0,308710200000.0,4308500000.0,152288500000.0,156597000000.0,,423028800000.0,2996600000.0,,,,18583100000.0,31555300000.0,,667324000000.0,,36599100000.0,784944000000.0,33702500000.0,,37365700000.0,331292400000.0,368658100000.0,140744500000.0,15315400000.0,,56777200000.0,448735300000.0,667324000000.0,269807800000.0,,3574400000.0,22038800000.0,8191800000.0,3195339547.0,13567300000.0,39322900000.0,298167500000.0,12972200000.0,,118880700000.0,119627000000.0,,595331600000.0,36782000000.0,79219700000.0,105653200000.0,0.0,,,,,3195339547.0,301363100000.0,269807800000.0,,1321063500000.0,632655500000.0,525255100000.0,358140300000.0,962923200000.0,1012353300000.0,539894400000.0,2777700000.0,,,-114318600000.0
