symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
LTTS.NS,2023-03-31,3M,INR,4505000000.0,17325000000.0,-6459000000.0,11462000000.0,-290000000.0,1752000000.0,578000000.0,4542000000.0,211000000.0,5346000000.0,27983000000.0,2311000000.0,3035000000.0,211000000.0,49509000000.0,65000000.0,51410000000.0,811000000.0,811000000.0,15139000000.0,1313000000.0,165000000.0,4000000.0,481000000.0,6010000000.0,6403000000.0,17615000000.0,13061000000.0,331000000.0,,49509000000.0,1752000000.0,3731000000.0,3731000000.0,52000000.0,4390000000.0,180000000.0,6602000000.0,43106000000.0,138000000.0,397000000.0,0.0,584000000.0,105608142.0,3952000000.0,2746000000.0,938000000.0,393000000.0,1821000000.0,2339000000.0,8028000000.0,3972000000.0,22637000000.0,8013000000.0,4026000000.0,1482000000.0,0.0,4000000.0,36244000000.0,105608142.0,49509000000.0,43106000000.0,313000000.0,69173000000.0,49509000000.0,4542000000.0,49689000000.0,19484000000.0,17763000000.0,4345000000.0,1165000000.0,36271000000.0
LTTS.NS,2023-09-30,3M,INR,12833000000.0,27285000000.0,,,,2918000000.0,,5506000000.0,211000000.0,7273000000.0,23483000000.0,,,211000000.0,47890000000.0,1209000000.0,56927000000.0,1076000000.0,1076000000.0,24012000000.0,1553000000.0,,,,6027000000.0,6330000000.0,,8731000000.0,,24000000.0,47890000000.0,2918000000.0,4430000000.0,4430000000.0,62000000.0,,195000000.0,8731000000.0,41560000000.0,116000000.0,470000000.0,,,105709642.0,6135000000.0,4041000000.0,47679000000.0,303000000.0,2084000000.0,,7522000000.0,,16210000000.0,13592000000.0,,,,,,105709642.0,47890000000.0,41560000000.0,,77106000000.0,47890000000.0,5506000000.0,48085000000.0,29021000000.0,20179000000.0,5009000000.0,759000000.0,32915000000.0
