symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherProperties,Payables,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
BANDHANBNK.NS,2023-03-31,3M,INR,1195556000.0,-6536270000.0,54187887000.0,2181463000.0,16108365000.0,150470839000.0,0.0,12223863000.0,16108365000.0,195841525000.0,3456755000.0,15082176000.0,446027318000.0,323658918000.0,323658918000.0,250185793000.0,0.0,99714954000.0,8545906000.0,195841525000.0,1610836480.0,119456000.0,9948257000.0,1195556000.0,436230000.0,1677164000.0,9672082000.0,74537813000.0,1610836480.0,195841525000.0,195841525000.0,1557699681000.0,446027318000.0,250185793000.0,195841525000.0,1361858156000.0
BANDHANBNK.NS,2023-09-30,3M,INR,,,,,16108988000.0,88466159000.0,,76679502000.0,16108988000.0,207946949000.0,,,370300536000.0,318390982000.0,318390982000.0,162353587000.0,,73887428000.0,9960087000.0,207946949000.0,1610898768.0,,,,,,,,1610898768.0,207946949000.0,207946949000.0,1524378679000.0,370300536000.0,162353587000.0,207946949000.0,1316431730000.0
