symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,DerivativeProductLiabilities,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable
MFSL.NS,2023-03-31,3M,INR,17095000000.0,6812400000.0,88439100000.0,3005200000.0,687200000.0,12259000000.0,12259000000.0,687200000.0,35182400000.0,8100000.0,2441000000.0,761700000.0,5252500000.0,7619600000.0,3857200000.0,40389000000.0,7769200000.0,89200800000.0,89200800000.0,3005200000.0,5206600000.0,8211800000.0,483600000.0,4502600000.0,3857200000.0,27562800000.0,38600000.0,100000.0,345114771.0,34495200000.0,2367100000.0,,3849100000.0,17095000000.0,345114771.0,35182400000.0,27562800000.0,157800000.0,1318237800000.0,40389000000.0,8211800000.0,39685000000.0,1278552800000.0,
MFSL.NS,2023-09-30,3M,INR,10972400000.0,4190800000.0,82052600000.0,3064000000.0,687100000.0,8143800000.0,8143800000.0,687100000.0,37521200000.0,0.0,1730000000.0,2198000000.0,5252500000.0,8055700000.0,3851300000.0,42542200000.0,7696000000.0,84250600000.0,84250600000.0,3064000000.0,5021000000.0,8085000000.0,660700000.0,4865100000.0,3851300000.0,29465500000.0,15800000.0,7400000.0,345114771.0,36834100000.0,2803200000.0,17006800000.0,3851300000.0,28071700000.0,345114771.0,37521200000.0,29465500000.0,37100000.0,1428367700000.0,42542200000.0,8085000000.0,42386300000.0,1385981400000.0,92500000.0
