symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
TITAN.NS,2023-03-31,3M,INR,12140000000.0,6740000000.0,-15070000000.0,1430000000.0,-100000000.0,180000000.0,60000000.0,24030000000.0,18730000000.0,890000000.0,2320000000.0,28990000000.0,2320000000.0,890000000.0,118510000000.0,1330000000.0,224070000000.0,2660000000.0,74940000000.0,77600000000.0,132640000000.0,1320000000.0,110000000.0,1830000000.0,131570000000.0,1230000000.0,3800000000.0,6840000000.0,42680000000.0,0.0,1650000000.0,165840000000.0,193450000000.0,10000000.0,3540000000.0,30000000.0,1440000000.0,16070000000.0,0.0,16070000000.0,30000000.0,2400000000.0,15880000000.0,530000000.0,72620000000.0,27610000000.0,114710000000.0,1580000000.0,30000000.0,2400000000.0,3130000000.0,890000000.0,240000000.0,25500000000.0,70000000.0,2570000000.0,50000000.0,50000000.0,10000000.0,1260000000.0,26280000000.0,2370000000.0,26670000000.0,14240000000.0,3210000000.0,12410000000.0,0.0,30250000000.0,6850000000.0,86120000000.0,890000000.0,118510000000.0,114710000000.0,270230000000.0,118510000000.0,93670000000.0,119040000000.0,151190000000.0,46160000000.0,18550000000.0,730000000.0,,3970000000.0,91430000000.0
TITAN.NS,2023-09-30,3M,INR,14120000000.0,15630000000.0,,,,10000000.0,12820000000.0,,21920000000.0,890000000.0,4660000000.0,58940000000.0,,890000000.0,124090000000.0,1140000000.0,274920000000.0,3010000000.0,120340000000.0,123350000000.0,182770000000.0,1030000000.0,,,,1230000000.0,4030000000.0,,31760000000.0,,,183260000000.0,244710000000.0,10000000.0,12820000000.0,,,18910000000.0,280000000.0,19190000000.0,,2620000000.0,,560000000.0,115960000000.0,31760000000.0,120060000000.0,1460000000.0,40000000.0,,,887786160.0,15700000000.0,39580000000.0,123200000000.0,2800000000.0,,1950000000.0,10000000.0,,30620000000.0,1380000000.0,54280000000.0,15840000000.0,,,,,,,887786160.0,124090000000.0,120060000000.0,329320000000.0,124370000000.0,142540000000.0,124650000000.0,204670000000.0,54400000000.0,21900000000.0,1720000000.0,0.0,,92150000000.0
