symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
GUJGASLTD.NS,2023-03-31,3M,INR,7155800000.0,8871100000.0,-27865900000.0,-197400000.0,303800000.0,2393600000.0,1523200000.0,1376800000.0,6747000000.0,6747000000.0,6247600000.0,499400000.0,1376800000.0,70279500000.0,9576000000.0,19791900000.0,283900000.0,0.0,283900000.0,17000000.0,28033700000.0,163500000.0,13500000.0,198100000.0,5016700000.0,9068500000.0,106044000000.0,611800000.0,70279500000.0,13000000.0,303800000.0,323700000.0,5302600000.0,1239300000.0,0.0,1239300000.0,323700000.0,550000000.0,88457700000.0,78178100000.0,65262800000.0,21400000.0,710800000.0,8461000000.0,550000000.0,4110100000.0,688390125.0,2021800000.0,1500000.0,68902700000.0,5016700000.0,300000.0,710800000.0,3237400000.0,314100000.0,1477200000.0,161400000.0,10406700000.0,273800000.0,571000000.0,0.0,413700000.0,62800000.0,61333500000.0,688390125.0,70279500000.0,65262800000.0,1434000000.0,109274300000.0,70279500000.0,1523200000.0,70279500000.0,38994800000.0,89482400000.0,10961100000.0,0.0,-8241800000.0
GUJGASLTD.NS,2023-09-30,3M,INR,5613800000.0,10156400000.0,,,2306300000.0,,1545400000.0,1376800000.0,7601800000.0,7835900000.0,,,1376800000.0,70852400000.0,9998200000.0,20610300000.0,296700000.0,0.0,296700000.0,,31126600000.0,384100000.0,,,5158600000.0,,79736900000.0,616100000.0,70852400000.0,13000000.0,2306300000.0,,,1248700000.0,0.0,1248700000.0,316500000.0,548100000.0,,79736900000.0,65693800000.0,,,8671000000.0,,,688390125.0,1965000000.0,2024400000.0,69475600000.0,5158600000.0,4990100000.0,711700000.0,,69738700000.0,36900000.0,234100000.0,5901800000.0,,,,,,,688390125.0,70852400000.0,65693800000.0,,113158500000.0,70852400000.0,1545400000.0,70852400000.0,42306100000.0,92548200000.0,11179500000.0,288000000.0,-10516300000.0
