symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
CGPOWER.NS,2023-03-31,3M,INR,12726600000.0,12971200000.0,-6395200000.0,7299400000.0,-1110300000.0,1822600000.0,72000000.0,6467300000.0,164300000.0,3054300000.0,6817800000.0,7166400000.0,5366600000.0,1451200000.0,3054300000.0,17905100000.0,347500000.0,31641800000.0,43700000.0,1200000.0,44900000.0,27793100000.0,1569600000.0,1300000.0,5600000.0,1019600000.0,1621400000.0,2190500000.0,14081500000.0,14367700000.0,700000.0,3900000.0,5411800000.0,17906300000.0,81500000.0,494300000.0,120600000.0,0.0,120600000.0,428900000.0,5830900000.0,9300000.0,7972500000.0,15714600000.0,4343400000.0,8300000.0,61400000.0,1527131434.0,1882800000.0,2369700000.0,60200000.0,569100000.0,74500000.0,7300000.0,2389500000.0,1227700000.0,2794100000.0,348600000.0,15117400000.0,643400000.0,0.0,2504700000.0,1300000.0,-3094700000.0,1527131434.0,17905100000.0,15714600000.0,830300000.0,46291100000.0,17905100000.0,165500000.0,17914400000.0,28376700000.0,14649300000.0,583600000.0,18500000.0,1887500000.0,3848700000.0
CGPOWER.NS,2023-09-30,3M,INR,13359700000.0,12924800000.0,,,,731800000.0,148500000.0,,169300000.0,3054500000.0,2367800000.0,13103500000.0,,,3054500000.0,22278400000.0,648800000.0,36766400000.0,49400000.0,,49400000.0,27505400000.0,1576800000.0,,,,1590600000.0,2215900000.0,,8183000000.0,,,6965200000.0,22278400000.0,148500000.0,,119900000.0,,119900000.0,436300000.0,,11500000.0,8183000000.0,20062500000.0,2911300000.0,6800000.0,,1527256094.0,2148100000.0,2819800000.0,19223900000.0,625300000.0,155100000.0,7300000.0,,7534200000.0,,10735700000.0,13359700000.0,,,,,,1527256094.0,22278400000.0,20062500000.0,893000000.0,50380200000.0,22278400000.0,169300000.0,22289900000.0,28090300000.0,13613800000.0,584900000.0,,,9261000000.0
