symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasuryStock,WorkInProcess,WorkingCapital
GRASIM.NS,2023-03-31,3M,INR,133532700000.0,59151000000.0,-222527300000.0,272914100000.0,-1573200000.0,36628400000.0,734803400000.0,101473200000.0,16906400000.0,1316900000.0,23125600000.0,187365500000.0,6412200000.0,16713400000.0,1316900000.0,787419900000.0,77301800000.0,675043400000.0,2799100000.0,346354600000.0,349153700000.0,7100000.0,695329900000.0,7224700000.0,134200000.0,325600000.0,4469700000.0,37922300000.0,19455200000.0,201375500000.0,287769400000.0,60724200000.0,961354600000.0,623800000.0,111591500000.0,1800787200000.0,143700000.0,772725700000.0,66335200000.0,43833200000.0,108501800000.0,0.0,14107300000.0,667012700000.0,681120000000.0,110168400000.0,7658100000.0,663675000000.0,441708300000.0,990241700000.0,738827300000.0,499650500000.0,446700000.0,15400000.0,107500000.0,3822600000.0,84433800000.0,48759000000.0,661050191.0,8067100000.0,26848400000.0,4135700000.0,86393900000.0,178600000.0,42762200000.0,3459700000.0,53734500000.0,10402800000.0,238600200000.0,164239900000.0,209261000000.0,111900000.0,29639100000.0,0.0,76034800000.0,3337000000.0,129800400000.0,661050191.0,787419900000.0,499650500000.0,32700000.0,3372050300000.0,1454432600000.0,1030273700000.0,1229128200000.0,2142922100000.0,2697006800000.0,1447592200000.0,21668200000.0,3873200000.0,15922900000.0,-20286500000.0
GRASIM.NS,2023-09-30,3M,INR,134318400000.0,59441900000.0,,,,,893389300000.0,,18599700000.0,1317000000.0,22081600000.0,259231100000.0,,,1317000000.0,831702400000.0,127645700000.0,774190300000.0,3205800000.0,419181100000.0,422386900000.0,,775581000000.0,7793500000.0,,,,,,201484500000.0,286119200000.0,,810035700000.0,,122547800000.0,2032383300000.0,141500000.0,893389300000.0,,,,0.0,15393900000.0,781499800000.0,796893700000.0,109065600000.0,8011700000.0,,477223500000.0,1178599300000.0,810035700000.0,545583200000.0,,,,4020400000.0,88853700000.0,,661066922.0,38743100000.0,60668700000.0,830385400000.0,84634700000.0,,43894800000.0,216800000.0,,682390000000.0,294165000000.0,237149500000.0,159467500000.0,,,,,,,661066922.0,831702400000.0,545583200000.0,61400000.0,3715691900000.0,1613202200000.0,1219280600000.0,1308925900000.0,2406766000000.0,2941501600000.0,1631185000000.0,25149100000.0,,,-1390700000.0
