symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,FixedAssetsRevaluationReserve,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherPayable,OtherProperties,Payables,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
INDUSINDBK.NS,2023-03-31,3M,INR,18302944000.0,-26986091000.0,185285006000.0,58670026000.0,7758952000.0,567767615000.0,69572520000.0,12393033000.0,7758952000.0,564945134000.0,1354253000.0,3016608000.0,47775370000.0,1040158476000.0,830724971000.0,830756842000.0,31871000.0,0.0,475213342000.0,31871000.0,,20789279000.0,564945134000.0,775895198.0,15342229000.0,11445652000.0,37721292000.0,29748596000.0,2395496000.0,8699825000.0,136059488000.0,241763013000.0,775895198.0,564945134000.0,564945134000.0,4578366330000.0,1040158476000.0,475213342000.0,564945134000.0,4013421196000.0
INDUSINDBK.NS,2023-09-30,3M,INR,,,,,7770500000.0,403760200000.0,,300948700000.0,7770500000.0,583940000000.0,,,,989244500000.0,944274800000.0,944274800000.0,,,405304500000.0,,1544300000.0,21728300000.0,583940000000.0,777054697.0,708200000.0,,,,,,,,777054697.0,583940000000.0,583940000000.0,4779223700000.0,989244500000.0,405304500000.0,583940000000.0,4195283700000.0
