symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
PAYTM.NS,2023-03-31,3M,INR,8589000000.0,12528000000.0,-9482000000.0,263546000000.0,-1948000000.0,11993000000.0,266000000.0,2213000000.0,634000000.0,33120000000.0,81601000000.0,5730000000.0,27390000000.0,634000000.0,130156000000.0,72000000.0,139891000000.0,337000000.0,20000000.0,357000000.0,44869000000.0,1575000000.0,40000000.0,443000000.0,954000000.0,14476000000.0,20730000000.0,1485000000.0,130176000000.0,13518000000.0,2518000000.0,0.0,1876000000.0,1876000000.0,2518000000.0,617000000.0,17509000000.0,-227000000.0,11248000000.0,129202000000.0,2367000000.0,85000000.0,0.0,3788000000.0,633788217.0,-126000000.0,4189000000.0,23963000000.0,511000000.0,3202000000.0,25892000000.0,2883000000.0,32184000000.0,48481000000.0,38492000000.0,7656000000.0,0.0,0.0,-169664000000.0,633788217.0,130156000000.0,129202000000.0,6048000000.0,179658000000.0,130156000000.0,2233000000.0,129929000000.0,49729000000.0,39767000000.0,4860000000.0,4011000000.0,95022000000.0
PAYTM.NS,2023-09-30,3M,INR,8521000000.0,12448000000.0,,,,38368000000.0,,2033000000.0,635000000.0,21515000000.0,104193000000.0,,,635000000.0,130530000000.0,71000000.0,125847000000.0,309000000.0,0.0,309000000.0,57119000000.0,2059000000.0,,443000000.0,922000000.0,,12288000000.0,,130530000000.0,38368000000.0,2380000000.0,0.0,1724000000.0,1724000000.0,2380000000.0,789000000.0,,-253000000.0,12288000000.0,129608000000.0,1611000000.0,91000000.0,,,634397553.0,9157000000.0,3209000000.0,129895000000.0,479000000.0,3565000000.0,,12217000000.0,49000000.0,82678000000.0,8521000000.0,,,,,634397553.0,130530000000.0,129608000000.0,,191520000000.0,130530000000.0,2033000000.0,130277000000.0,61243000000.0,65673000000.0,4124000000.0,,68728000000.0
