symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
GODREJCP.NS,2023-03-31,3M,INR,18231700000.0,12452800000.0,-8821900000.0,14361600000.0,-679000000.0,8399300000.0,8542900000.0,956200000.0,1022700000.0,3576200000.0,25780900000.0,512600000.0,3063600000.0,1022700000.0,137942300000.0,416100000.0,58059700000.0,380100000.0,8448400000.0,8828500000.0,32913100000.0,751600000.0,136800000.0,5685900000.0,58222500000.0,84034000000.0,13131800000.0,24578700000.0,14900000.0,15371500000.0,148281900000.0,8399300000.0,0.0,1453600000.0,576100000.0,1891200000.0,2467300000.0,0.0,1034200000.0,14121700000.0,6763400000.0,15756800000.0,53908300000.0,7027500000.0,615100000.0,1034200000.0,692100000.0,1022695318.0,4008100000.0,1145100000.0,235600000.0,25811500000.0,4800000.0,15700000.0,2306300000.0,44400000.0,307300000.0,22204700000.0,20821900000.0,3951900000.0,0.0,8993600000.0,180400000.0,110966200000.0,1022695318.0,137942300000.0,53908300000.0,174987700000.0,139833500000.0,11295800000.0,137942300000.0,37045400000.0,116928000000.0,4132300000.0,147100000.0,,692000000.0,25146600000.0
GODREJCP.NS,2023-09-30,3M,INR,18971900000.0,13582200000.0,,,,10333800000.0,,746900000.0,1022800000.0,5244200000.0,26695100000.0,,,1022800000.0,144998600000.0,551300000.0,61227300000.0,340500000.0,32000700000.0,32341200000.0,58640000000.0,981500000.0,,,64389000000.0,112266400000.0,,14972200000.0,,15945200000.0,176999300000.0,10333800000.0,0.0,,406400000.0,0.0,406400000.0,0.0,1486000000.0,,26756500000.0,14972200000.0,32732200000.0,6027200000.0,638400000.0,,,1022758404.0,5004500000.0,3289400000.0,143975800000.0,47877400000.0,562700000.0,21500000.0,,14420900000.0,300000.0,21450900000.0,19252100000.0,,,,,,1022758404.0,144998600000.0,32732200000.0,206190900000.0,144998600000.0,32747600000.0,144998600000.0,61192300000.0,144963600000.0,2552300000.0,280200000.0,0.0,,2587300000.0
