symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
LALPATHLAB.NS,2023-03-31,3M,INR,1561000000.0,708000000.0,401000000.0,1829000000.0,834000000.0,2637000000.0,8510000000.0,834000000.0,16663000000.0,30000000.0,9730000000.0,529000000.0,1533000000.0,2062000000.0,4698000000.0,291000000.0,5478000000.0,9060000000.0,4040000000.0,338000000.0,19029000000.0,,401000000.0,1300000000.0,833000000.0,2133000000.0,332000000.0,,4040000000.0,7603000000.0,404000000.0,29000000.0,82940578.0,160000000.0,316000000.0,15829000000.0,3582000000.0,14000000.0,4010000000.0,14000000.0,5873000000.0,1566000000.0,83367877.0,16663000000.0,7603000000.0,23855000000.0,17496000000.0,4195000000.0,16995000000.0,6860000000.0,14125000000.0,2162000000.0,5000000.0,427299.0,5032000000.0
LALPATHLAB.NS,2023-09-30,3M,INR,1936000000.0,855000000.0,247000000.0,1742000000.0,835000000.0,1200000000.0,9295000000.0,835000000.0,17722000000.0,98000000.0,10788000000.0,506000000.0,833000000.0,1339000000.0,4707000000.0,332000000.0,5478000000.0,8783000000.0,3568000000.0,409000000.0,18972000000.0,340000000.0,247000000.0,1236000000.0,417000000.0,1653000000.0,339000000.0,50000000.0,3568000000.0,8939000000.0,462000000.0,32000000.0,83125599.0,217000000.0,370000000.0,16887000000.0,3305000000.0,59000000.0,3470000000.0,12000000.0,8095000000.0,2186000000.0,83469852.0,17722000000.0,8939000000.0,24453000000.0,18139000000.0,2992000000.0,18061000000.0,6392000000.0,13665000000.0,1685000000.0,250000000.0,344253.0,6081000000.0
