symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
SIEMENS.NS,2023-03-31,3M,INR,41587000000.0,43997000000.0,33000000.0,584000000.0,2041000000.0,712000000.0,15338000000.0,62837000000.0,712000000.0,120764000000.0,510000000.0,155850000000.0,1000000000.0,1000000000.0,79183000000.0,11113000000.0,12354000000.0,17706000000.0,12832000000.0,27274000000.0,120764000000.0,891000000.0,584000000.0,1041000000.0,1041000000.0,14000000.0,,80000000.0,12832000000.0,103058000000.0,827000000.0,356120255.0,3564000000.0,2222000000.0,120052000000.0,5352000000.0,2816000000.0,4227000000.0,12322000000.0,18145000000.0,47499000000.0,43360000000.0,356120255.0,120764000000.0,103058000000.0,206124000000.0,120764000000.0,2041000000.0,120844000000.0,85280000000.0,50274000000.0,6097000000.0,1773000000.0,24000000.0,76667000000.0
SIEMENS.NS,2023-09-30,3M,INR,42368000000.0,47072000000.0,371000000.0,588000000.0,1752000000.0,712000000.0,11917000000.0,78691000000.0,712000000.0,130871000000.0,496000000.0,176062000000.0,736000000.0,736000000.0,85465000000.0,11905000000.0,12686000000.0,17738000000.0,12494000000.0,25052000000.0,130871000000.0,654000000.0,588000000.0,1016000000.0,1016000000.0,13000000.0,4261000000.0,86000000.0,12494000000.0,113133000000.0,1627000000.0,356120255.0,2483000000.0,1974000000.0,130159000000.0,5052000000.0,2679000000.0,,11998000000.0,22393000000.0,66774000000.0,43589000000.0,356120255.0,130871000000.0,113133000000.0,222650000000.0,130871000000.0,1752000000.0,130957000000.0,91693000000.0,46588000000.0,6228000000.0,1221000000.0,12000000.0,90597000000.0
