symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
ULTRACEMCO.NS,2023-03-31,3M,INR,72093000000.0,38670200000.0,-170012900000.0,55219400000.0,-987000000.0,8500000.0,62874400000.0,11569600000.0,2886900000.0,3703700000.0,70297700000.0,3703700000.0,2886900000.0,543245400000.0,40349100000.0,207248800000.0,1463100000.0,45443700000.0,46906800000.0,234317900000.0,2044300000.0,0.0,140600000.0,4424300000.0,5843400000.0,6714600000.0,63292600000.0,66947000000.0,39657200000.0,739259800000.0,321800000.0,66118300000.0,642253200000.0,5851900000.0,97172600000.0,10106500000.0,53564100000.0,63670600000.0,8760100000.0,6242100000.0,479711800000.0,556300000.0,95304100000.0,569246900000.0,476298400000.0,0.0,36700000.0,65600000.0,62601100000.0,34808100000.0,288265854.0,18182800000.0,47929500000.0,801800000.0,3654400000.0,381000000.0,32654900000.0,1100000.0,4623600000.0,476706400000.0,10619300000.0,66594000000.0,90521400000.0,19456400000.0,59151900000.0,45718800000.0,1764400000.0,90463000000.0,288686345.0,543245400000.0,476298400000.0,700000.0,913869600000.0,596809500000.0,110577400000.0,543801700000.0,370067900000.0,706620800000.0,135750000000.0,13664200000.0,2731000000.0,420491.0,2568600000.0,13303900000.0,-27069100000.0
ULTRACEMCO.NS,2023-09-30,3M,INR,74749000000.0,38796000000.0,,,,28194500000.0,,11405200000.0,2886900000.0,1857700000.0,65516800000.0,,2886900000.0,561468600000.0,53060900000.0,202394300000.0,1547200000.0,51533700000.0,53080900000.0,243833200000.0,2232700000.0,,,,,,63401600000.0,118744700000.0,,541994900000.0,,76456000000.0,664658100000.0,28194500000.0,,9858000000.0,51655800000.0,61513800000.0,9064800000.0,6520300000.0,,569700000.0,101331800000.0,541994900000.0,442723900000.0,,,58300000.0,62892500000.0,,288160729.0,21543100000.0,46628800000.0,558581700000.0,55343100000.0,,35350100000.0,37100000.0,,488934000000.0,81700000.0,63659100000.0,90647500000.0,,,,,,288686345.0,561468600000.0,442723900000.0,700000.0,939913600000.0,613124400000.0,114594700000.0,562038300000.0,377875300000.0,737519300000.0,134042100000.0,15898500000.0,,525616.0,,,-41438900000.0
