symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
JUBLFOOD.NS,2023-03-31,3M,INR,5690880000.0,287310000.0,-21143360000.0,477280000.0,-26710000.0,2316610000.0,8347550000.0,23710270000.0,1319690000.0,298030000.0,3808740000.0,298030000.0,1319690000.0,20377900000.0,2204550000.0,6858120000.0,2393140000.0,2393140000.0,10289630000.0,419220000.0,760000.0,59670000.0,1379640000.0,314020000.0,57089280000.0,1769990000.0,22205010000.0,340000.0,2316610000.0,4661080000.0,1485820000.0,21317130000.0,1827110000.0,23144240000.0,4661080000.0,15292260000.0,0.0,1529080000.0,35945920000.0,18998260000.0,742930000.0,1879320000.0,658648961.0,980260000.0,873610000.0,123100000.0,1379640000.0,973550000.0,1357690000.0,29759100000.0,15270000.0,3510710000.0,7052190000.0,126260000.0,557650000.0,0.0,1601100000.0,760000.0,17805710000.0,659845200.0,20377900000.0,18998260000.0,418400000.0,53821270000.0,22205010000.0,25537380000.0,20377900000.0,33443370000.0,46963150000.0,23153740000.0,2860000.0,1196239.0,420530000.0,109220000.0,-3431510000.0
JUBLFOOD.NS,2023-09-30,3M,INR,6310600000.0,353510000.0,,,,8466900000.0,,24222630000.0,1319690000.0,489580000.0,1473430000.0,,1319690000.0,20872820000.0,2896340000.0,5516640000.0,2472970000.0,2472970000.0,10857060000.0,470750000.0,,,1621950000.0,,37806850000.0,2604940000.0,22728950000.0,340000.0,8466900000.0,,,21749660000.0,1856130000.0,23605790000.0,,,,1366550000.0,37806850000.0,19250870000.0,711470000.0,,658430181.0,1084760000.0,778120000.0,19553130000.0,1621950000.0,941720000.0,96470000.0,34910510000.0,,983850000.0,6409530000.0,,,,,,,659845200.0,20872820000.0,19250870000.0,,55346170000.0,22728950000.0,26078760000.0,20872820000.0,34473350000.0,49829530000.0,23616290000.0,2460000.0,1415019.0,,,-5340420000.0
