symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
DMART.NS,2023-03-31,3M,INR,7537900000.0,621600000.0,-24025000000.0,60142300000.0,4100000.0,62014900000.0,6429800000.0,6482600000.0,2071500000.0,16096200000.0,2071500000.0,6482600000.0,160787000000.0,11523900000.0,54483900000.0,1663200000.0,1663200000.0,14670100000.0,508700000.0,32382900000.0,782700000.0,1014500000.0,147853800000.0,32434800000.0,160787600000.0,85400000.0,4100000.0,55185300000.0,4766600000.0,600000.0,4767200000.0,64100000.0,14869300000.0,800000.0,123828800000.0,159772500000.0,17700000.0,769600000.0,64100000.0,1446000000.0,648263978.0,96400000.0,73800000.0,468400000.0,231800000.0,3604300000.0,3560600000.0,4260400000.0,3101200000.0,14024700000.0,11952400000.0,508700000.0,2124700000.0,0.0,51900000.0,9000000.0,93693700000.0,648263978.0,160787000000.0,159772500000.0,181062900000.0,160787600000.0,6430400000.0,160787800000.0,20275100000.0,126579000000.0,5605000000.0,853900000.0,39813800000.0
DMART.NS,2023-09-30,3M,INR,7977700000.0,1187600000.0,,,3227800000.0,,6303800000.0,6507300000.0,1666000000.0,13920000000.0,,6507300000.0,174293800000.0,10211900000.0,56853900000.0,1719400000.0,1719400000.0,16129800000.0,587500000.0,,782700000.0,1023200000.0,129224000000.0,39371200000.0,174293800000.0,83300000.0,3227800000.0,,4584400000.0,,4584400000.0,73700000.0,,17200000.0,129224000000.0,173270600000.0,18600000.0,766000000.0,,,650733068.0,2375100000.0,533200000.0,167786500000.0,240500000.0,5256300000.0,,119012100000.0,,12254000000.0,10394000000.0,,,,,,,650733068.0,174293800000.0,173270600000.0,195869600000.0,174293800000.0,6303800000.0,174311000000.0,21558600000.0,139015700000.0,5428800000.0,2416300000.0,40724100000.0
