symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
TATACHEM.NS,2023-03-31,3M,INR,25970000000.0,26270000000.0,-39700000000.0,12590000000.0,-950000000.0,40000000.0,48990000000.0,16360000000.0,2130000000.0,2550000000.0,5080000000.0,19160000000.0,3150000000.0,1930000000.0,2550000000.0,197210000000.0,24910000000.0,81640000000.0,760000000.0,5430000000.0,6190000000.0,49040000000.0,3520000000.0,500000000.0,230000000.0,190000000.0,80000000.0,1500000000.0,8730000000.0,21550000000.0,105300000000.0,27220000000.0,130300000000.0,220000000.0,25320000000.0,258040000000.0,520000000.0,50490000000.0,3520000000.0,1370000000.0,55400000000.0,56770000000.0,11360000000.0,14540000000.0,82020000000.0,9210000000.0,55750000000.0,90600000000.0,91910000000.0,3640000000.0,1440000000.0,19350000000.0,8730000000.0,254756278.0,2570000000.0,370000000.0,194660000000.0,83750000000.0,180000000.0,600000000.0,4270000000.0,850000000.0,6160000000.0,14080000000.0,31620000000.0,1710000000.0,2640000000.0,14560000000.0,190000000.0,95820000000.0,254756278.0,197210000000.0,91910000000.0,0.0,350840000000.0,252610000000.0,62960000000.0,206420000000.0,144420000000.0,269200000000.0,95380000000.0,1190000000.0,2030000000.0,32600000000.0
TATACHEM.NS,2023-09-30,3M,INR,21540000000.0,23490000000.0,,,,40000000.0,62220000000.0,,4760000000.0,2550000000.0,6310000000.0,14710000000.0,,,2550000000.0,214030000000.0,20710000000.0,70900000000.0,940000000.0,22310000000.0,23250000000.0,57980000000.0,2230000000.0,,,,,,,21740000000.0,105850000000.0,,96060000000.0,,24810000000.0,269750000000.0,520000000.0,62220000000.0,,3820000000.0,33410000000.0,37230000000.0,11640000000.0,14810000000.0,,8720000000.0,49410000000.0,96060000000.0,108180000000.0,,1440000000.0,21750000000.0,7700000000.0,254756278.0,6040000000.0,3190000000.0,211480000000.0,84110000000.0,2740000000.0,4120000000.0,,75350000000.0,1750000000.0,8400000000.0,22910000000.0,,,,,,254756278.0,214030000000.0,108180000000.0,60000000.0,359070000000.0,247440000000.0,60480000000.0,222750000000.0,136320000000.0,288170000000.0,78340000000.0,1370000000.0,,12920000000.0
