symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
FORTIS.NS,2023-03-31,3M,INR,7142869000.0,5100834000.0,-15780665000.0,72151940000.0,-2426771000.0,2560545000.0,-46543000.0,16420361000.0,2225710000.0,7549581000.0,1410825000.0,3662693000.0,809020000.0,601805000.0,7549581000.0,72422624000.0,2277382000.0,14063541000.0,399393000.0,1309293000.0,1708686000.0,39126000.0,14258804000.0,558313000.0,15910000000.0,631000.0,41409885000.0,45769208000.0,7527605000.0,66553675000.0,16954000.0,1228447000.0,79454129000.0,-46543000.0,2071030000.0,31999000.0,27250824000.0,1826317000.0,5722212000.0,7548529000.0,2103029000.0,1302400000.0,5714593000.0,8581257000.0,5620680000.0,50773010000.0,26653416000.0,3442658000.0,4107283000.0,1302402000.0,1269581000.0,754958148.0,8570000.0,97992000.0,17518000.0,4359323000.0,-20515000.0,-2001000.0,2760333000.0,14890515000.0,740592000.0,2251868000.0,9903833000.0,663455000.0,0.0,1248962000.0,64631000.0,-10140743000.0,754958148.0,72422624000.0,26653416000.0,16820000.0,124336044000.0,78144836000.0,9257215000.0,81003881000.0,43332163000.0,110272503000.0,29073359000.0,39100000.0,200802000.0,-195263000.0
FORTIS.NS,2023-09-30,3M,INR,8068300000.0,6930900000.0,,,,3400000.0,466700000.0,,2927800000.0,7549600000.0,902000000.0,3856400000.0,,,7549600000.0,76101600000.0,5252400000.0,12589300000.0,492200000.0,1606000000.0,2098200000.0,,29142600000.0,565900000.0,,,41757200000.0,45985500000.0,,55638800000.0,,1234300000.0,83501500000.0,466700000.0,,,,2435600000.0,5793900000.0,8229500000.0,2139400000.0,1437100000.0,,8702000000.0,6497900000.0,55638800000.0,30116100000.0,3362400000.0,4229000000.0,,,754958148.0,552500000.0,1198900000.0,68552000000.0,4228300000.0,,952300000.0,,50386400000.0,11800000.0,2954400000.0,8321000000.0,,,,,,754958148.0,76101600000.0,30116100000.0,,127853700000.0,81895500000.0,10327700000.0,84803600000.0,43050100000.0,115264400000.0,13907500000.0,252700000.0,,-16553300000.0
