symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
VBL.NS,2023-06-30,3M,INR,11022220000.0,6035760000.0,,,,611340000.0,,2425570000.0,6495680000.0,2065620000.0,8570460000.0,,,6495680000.0,64885490000.0,5312380000.0,38570480000.0,392820000.0,16966770000.0,17359590000.0,,42639960000.0,301350000.0,,,,242300000.0,5730630000.0,,85318670000.0,20907240000.0,99724040000.0,20080000.0,611340000.0,,,,2032750000.0,17871780000.0,19904530000.0,51440000.0,2008610000.0,,1340740000.0,32772930000.0,85318670000.0,59154860000.0,,3401330000.0,,,1299136476.0,3044070000.0,7166480000.0,58389810000.0,5488330000.0,3883570000.0,5550000.0,,80006290000.0,10000000.0,6504840000.0,13395920000.0,,,,,,,1299136476.0,64885490000.0,59154860000.0,2950000.0,134186210000.0,82757270000.0,37264120000.0,66226230000.0,67959980000.0,95615730000.0,25320020000.0,2373700000.0,,-4069480000.0
VBL.NS,2023-12-31,3M,INR,7582480000.0,3593850000.0,-39273840000.0,22636590000.0,-586230000.0,34550000.0,19583930000.0,2369230000.0,6496070000.0,2422120000.0,2422120000.0,613350000.0,1808770000.0,6496070000.0,69364980000.0,24416460000.0,42356300000.0,390380000.0,20054490000.0,20444870000.0,390020000.0,41532120000.0,,970000.0,31510000.0,4160220000.0,242300000.0,5713300000.0,4180080000.0,142068690000.0,21505330000.0,121308850000.0,,66060000.0,52320000.0,127000000.0,18318290000.0,1978850000.0,31889380000.0,33868230000.0,179320000.0,,73502740000.0,1481550000.0,49521750000.0,102794850000.0,63651680000.0,68400000.0,3430110000.0,2126440000.0,751510000.0,1299214976.0,,,88480000.0,5471000000.0,,,8303290000.0,6247270000.0,7108730000.0,,15886740000.0,825430000.0,5549770000.0,0.0,12946880000.0,2176500000.0,45663500000.0,1299214976.0,69364980000.0,63651680000.0,,151871830000.0,101254360000.0,54313100000.0,70846530000.0,81025300000.0,109515530000.0,39493180000.0,,4398230000.0,824180000.0
