symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
TATASTEEL.NS,2023-03-31,3M,INR,378325400000.0,82572400000.0,-957654600000.0,314211900000.0,-7549200000.0,594000000.0,15179000000.0,289036000000.0,68753500000.0,12212400000.0,121299000000.0,171025300000.0,121299000000.0,12212400000.0,1030821000000.0,303079000000.0,866655400000.0,10642700000.0,265713700000.0,276356400000.0,973029700000.0,38827300000.0,69908300000.0,0.0,1000400000.0,4034000000.0,1595500000.0,174886300000.0,56016500000.0,75341200000.0,90121600000.0,2660658200000.0,5614600000.0,170100000.0,544153300000.0,1810919600000.0,16944600000.0,2517200000.0,29816100000.0,217006400000.0,58110800000.0,514384900000.0,572495700000.0,32333300000.0,47758400000.0,1668343500000.0,20931100000.0,658799600000.0,1703003600000.0,955479800000.0,22784700000.0,26259600000.0,141156400000.0,29313700000.0,2772500000.0,12221537000.0,11605700000.0,110445700000.0,,19324700000.0,37766300000.0,5931900000.0,94901700000.0,,367500000.0,49726300000.0,493467300000.0,3051400000.0,37272100000.0,183193300000.0,274880600000.0,12273600000.0,481663200000.0,12221537000.0,1030821000000.0,955479800000.0,1176900000.0,2880217400000.0,1545205900000.0,848852100000.0,1051752100000.0,1828465300000.0,2013562000000.0,855435600000.0,19239800000.0,17279700000.0,94386400000.0,-106374300000.0
TATASTEEL.NS,2023-09-30,3M,INR,332567100000.0,67796800000.0,,,,435300000.0,36372000000.0,,57349900000.0,12212400000.0,87966700000.0,137681700000.0,,12212400000.0,891971900000.0,357611100000.0,749378000000.0,12726500000.0,367923600000.0,380650100000.0,1025730800000.0,43494800000.0,246500000.0,,,2630100000.0,,,56058800000.0,189109400000.0,,1587787900000.0,4456100000.0,,491708300000.0,1731851500000.0,36372000000.0,,,,44623400000.0,471956000000.0,516579400000.0,29643500000.0,47124100000.0,,16050600000.0,751912900000.0,1587787900000.0,702862500000.0,1783300000.0,38484100000.0,131778700000.0,29031800000.0,,12221537000.0,46817400000.0,153344200000.0,879759500000.0,133050600000.0,38654700000.0,38081800000.0,,1230176800000.0,22900000.0,49715000000.0,345838500000.0,1510200000.0,,,,,,12221537000.0,891971900000.0,702862500000.0,459500000.0,2718140000000.0,1363927900000.0,897229500000.0,908022500000.0,1810117500000.0,1968762000000.0,784386700000.0,13271400000.0,,,-276352800000.0
