symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkingCapital
NAUKRI.NS,2023-03-31,3M,INR,945920000.0,126190000.0,-2044160000.0,26555890000.0,-121770000.0,232650000.0,82093750000.0,2115510000.0,1052300000.0,1290120000.0,3612950000.0,35220550000.0,2005500000.0,1607450000.0,1290120000.0,133980240000.0,42010000.0,36906310000.0,267410000.0,10210000.0,277620000.0,12010000.0,13489380000.0,972180000.0,452590000.0,4779780000.0,5980060000.0,247960000.0,3851390000.0,72000000.0,134004430000.0,263000000.0,82618340000.0,135870000.0,784890000.0,13980000.0,798870000.0,20727490000.0,16080000.0,1558000000.0,10278510000.0,1807230000.0,128000180000.0,0.0,18980000.0,18990000.0,8004330000.0,109550000.0,129012307.0,489490000.0,46030000.0,1642110000.0,1200280000.0,15903590000.0,-700000.0,15260000.0,61820000.0,1764520000.0,1227880000.0,31607600000.0,1708050000.0,60670000.0,0.0,1310000.0,138327300000.0,129184120.0,133980240000.0,128000180000.0,37060000.0,166602990000.0,133994220000.0,1076490000.0,144258750000.0,22344240000.0,129696680000.0,8854860000.0,700310000.0,1340000.0,171813.0,23416930000.0
NAUKRI.NS,2023-09-30,3M,INR,974910000.0,133530000.0,,,,232650000.0,164876530000.0,,2468010000.0,1290800000.0,3194260000.0,40575210000.0,,,1290800000.0,197132380000.0,0.0,41335960000.0,304850000.0,255220000.0,560070000.0,,12629690000.0,767510000.0,,4779780000.0,5827620000.0,,3302270000.0,,197406790000.0,319460000.0,164876530000.0,,2163160000.0,19190000.0,2182350000.0,22968250000.0,23240000.0,,13473360000.0,3302270000.0,191304760000.0,,,4140000.0,15320950000.0,,129079717.0,371060000.0,10262020000.0,195841580000.0,1047840000.0,,28400000.0,30070000.0,,3302270000.0,23510000.0,37380950000.0,994050000.0,,,,,129184120.0,197132380000.0,191304760000.0,,240792040000.0,197151570000.0,2742420000.0,210605740000.0,30186300000.0,199456080000.0,17556610000.0,19140000.0,,104403.0,28706270000.0
