symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
MARICO.NS,2023-03-31,3M,INR,14520000000.0,10150000000.0,-7310000000.0,4960000000.0,-170000000.0,70000000.0,180000000.0,6450000000.0,1330000000.0,1290000000.0,2070000000.0,13340000000.0,110000000.0,1960000000.0,1290000000.0,37990000000.0,670000000.0,38200000000.0,420000000.0,4730000000.0,5150000000.0,24290000000.0,440000000.0,10000000.0,5010000000.0,4300000000.0,8620000000.0,14220000000.0,10320000000.0,16060000000.0,10000000.0,170000000.0,12250000000.0,42740000000.0,160000000.0,5360000000.0,710000000.0,910000000.0,20000000.0,930000000.0,40000000.0,8220000000.0,1570000000.0,2680000000.0,8750000000.0,23770000000.0,1460000000.0,1780000000.0,200000000.0,600000000.0,1291877601.0,-10000000.0,2170000000.0,-6810000000.0,5600000000.0,1160000000.0,20000000.0,880000000.0,10000000.0,40000000.0,11270000000.0,16280000000.0,740000000.0,1610000000.0,0.0,4640000000.0,20000000.0,35260000000.0,1293084378.0,37990000000.0,23770000000.0,720000000.0,69460000000.0,38010000000.0,6080000000.0,39560000000.0,29900000000.0,31260000000.0,5610000000.0,870000000.0,1206777.0,600000000.0,2150000000.0,13910000000.0
MARICO.NS,2023-09-30,3M,INR,16870000000.0,11660000000.0,,,,50000000.0,6240000000.0,,1490000000.0,1290000000.0,2620000000.0,18080000000.0,,,1290000000.0,42160000000.0,640000000.0,45350000000.0,440000000.0,3440000000.0,3880000000.0,25270000000.0,130000000.0,,,,8910000000.0,18090000000.0,,9430000000.0,,,12990000000.0,45600000000.0,150000000.0,6240000000.0,,1050000000.0,0.0,1050000000.0,10000000.0,,3890000000.0,820000000.0,9430000000.0,24070000000.0,1170000000.0,2740000000.0,240000000.0,,1292210654.0,2470000000.0,2080000000.0,,9180000000.0,,490000000.0,,8790000000.0,60000000.0,15460000000.0,18270000000.0,500000000.0,,,,,,1293596488.0,42160000000.0,24070000000.0,40000000.0,81640000000.0,42160000000.0,4930000000.0,46050000000.0,35590000000.0,36290000000.0,10320000000.0,1400000000.0,1385834.0,,,20080000000.0
