symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,WorkInProcess,WorkingCapital
SUPREMEIND.NS,2023-03-31,3M,INR,9037500000.0,4923800000.0,-20852000000.0,497100000.0,-75200000.0,61000000.0,9314000000.0,511700000.0,254100000.0,7379600000.0,7398100000.0,6208400000.0,1171200000.0,254100000.0,44021200000.0,837100000.0,28786800000.0,144500000.0,144500000.0,11359000000.0,85000000.0,52800000.0,61000000.0,4780600000.0,54500000.0,4999000000.0,42277000000.0,13856400000.0,44021200000.0,61000000.0,5712500000.0,0.0,760500000.0,367200000.0,367200000.0,5712500000.0,263500000.0,23903200000.0,21425000000.0,43966700000.0,908100000.0,263500000.0,586000000.0,127026870.0,2415800000.0,51700000.0,43767100000.0,54500000.0,142300000.0,607400000.0,23200000.0,1549200000.0,7462200000.0,24100000.0,18500000.0,10639500000.0,85000000.0,2426400000.0,0.0,8248800000.0,81200000.0,2540500000.0,127026870.0,44021200000.0,43966700000.0,76800000.0,56942200000.0,44021200000.0,511700000.0,44021200000.0,12921000000.0,28155400000.0,1562000000.0,684700000.0,17427800000.0
SUPREMEIND.NS,2023-09-30,3M,INR,8047800000.0,5310000000.0,,,,83500000.0,,437400000.0,254100000.0,5836200000.0,5941900000.0,,,254100000.0,46053100000.0,1109400000.0,28933500000.0,122800000.0,122800000.0,10149400000.0,84200000.0,,,,35000000.0,,21747900000.0,14504300000.0,46053100000.0,83500000.0,5760200000.0,,,314600000.0,314600000.0,5760200000.0,261000000.0,,21747900000.0,46018100000.0,932900000.0,,307700000.0,127026870.0,2927800000.0,1498200000.0,,,,855500000.0,31200000.0,,20638500000.0,23900000.0,105700000.0,8047800000.0,,11000000.0,,,,,127026870.0,46053100000.0,46018100000.0,214600000.0,57742200000.0,46053100000.0,437400000.0,46053100000.0,11689100000.0,28808700000.0,1539700000.0,,18784100000.0
