symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherProperties,Payables,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
INDIANB.NS,2023-03-31,3M,INR,14797100000.0,-56701800000.0,23915500000.0,25103700000.0,12454400000.0,502168300000.0,27400000.0,12425800000.0,12454400000.0,495068200000.0,102800000.0,131508500000.0,734411900000.0,1871065500000.0,1883662800000.0,12597300000.0,239343700000.0,12597300000.0,261900000.0,74806700000.0,495068200000.0,1245441139.0,56698800000.0,14797100000.0,52806600000.0,74706900000.0,58786500000.0,13658400000.0,1245441139.0,495068200000.0,495068200000.0,7133340000000.0,734411900000.0,239343700000.0,495330100000.0,6638009900000.0
INDIANB.NS,2023-09-30,3M,INR,,,,,12454400000.0,408446700000.0,,293037600000.0,12454400000.0,533870500000.0,,,783261700000.0,2041139900000.0,2041139900000.0,,249391200000.0,,275500000.0,74989800000.0,533870500000.0,1245441139.0,,,,,,,1245441139.0,533870500000.0,533870500000.0,7417268100000.0,783261700000.0,249391200000.0,534146000000.0,6883122100000.0
