symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
HCLTECH.NS,2023-03-31,3M,INR,25260000000.0,195720000000.0,13890000000.0,25350000000.0,5430000000.0,90650000000.0,212290000000.0,5430000000.0,654050000000.0,400000000.0,535770000000.0,8710000000.0,1400000000.0,10110000000.0,214310000000.0,,185670000000.0,269110000000.0,77480000000.0,2280000000.0,676560000000.0,13890000000.0,0.0,16640000000.0,21110000000.0,37750000000.0,0.0,,-70000000.0,77480000000.0,384940000000.0,7840000000.0,12520000000.0,1610000000.0,13150000000.0,0.0,2707364943.0,38160000000.0,15950000000.0,648620000000.0,83440000000.0,18530000000.0,410000000.0,77080000000.0,85370000000.0,121640000000.0,46760000000.0,11200000000.0,2713665096.0,654050000000.0,384940000000.0,1950000000.0,934110000000.0,675160000000.0,47860000000.0,653980000000.0,280130000000.0,398340000000.0,65820000000.0,21500000000.0,6300153.0,321460000000.0
HCLTECH.NS,2023-09-30,3M,INR,24960000000.0,180530000000.0,11250000000.0,28650000000.0,5430000000.0,80740000000.0,236930000000.0,5430000000.0,656830000000.0,560000000.0,530020000000.0,9880000000.0,1560000000.0,11440000000.0,206850000000.0,12690000000.0,199470000000.0,280080000000.0,78820000000.0,1360000000.0,680860000000.0,11250000000.0,,18770000000.0,22470000000.0,41240000000.0,,14350000000.0,-90000000.0,78820000000.0,376750000000.0,7310000000.0,9830000000.0,2950000000.0,,,2707906420.0,44070000000.0,14190000000.0,651400000000.0,80610000000.0,16030000000.0,2510000000.0,78260000000.0,65030000000.0,156190000000.0,52770000000.0,,2713665096.0,656830000000.0,376750000000.0,2100000000.0,935790000000.0,679300000000.0,52680000000.0,656740000000.0,279050000000.0,405770000000.0,72200000000.0,27810000000.0,5758676.0,323170000000.0
