symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasuryStock,WorkInProcess,WorkingCapital
BAJAJ-AUTO.NS,2023-03-31,3M,INR,41211800000.0,17524300000.0,-26723100000.0,64100000.0,0.0,99631600000.0,12812600000.0,2829600000.0,2416200000.0,52055000000.0,2416200000.0,2829600000.0,293615400000.0,852700000.0,96504000000.0,52707400000.0,1664700000.0,10300000.0,285500000.0,0.0,42192500000.0,6340500000.0,307000000.0,17524300000.0,55191000000.0,0.0,25351500000.0,15635500000.0,293615400000.0,500100000.0,167175600000.0,48840300000.0,1704000000.0,48840300000.0,12400000.0,24120000000.0,100000.0,28467900000.0,293308400000.0,333500000.0,4693800000.0,1103600000.0,282957358.0,5856000000.0,4926100000.0,620900000.0,307000000.0,15600000.0,1085300000.0,1900000.0,5149400000.0,15701700000.0,6078100000.0,49638800000.0,48071100000.0,1737400000.0,0.0,8497600000.0,663300000.0,209314300000.0,282957358.0,293615400000.0,293308400000.0,2810400000.0,351364500000.0,293615400000.0,293615500000.0,57749000000.0,254860500000.0,5041600000.0,1424400000.0,1900000.0,637300000.0,781800000.0,43796600000.0
BAJAJ-AUTO.NS,2023-09-30,3M,INR,53025200000.0,20899500000.0,,,,175664900000.0,,2829600000.0,6750400000.0,60782400000.0,,2829600000.0,293310400000.0,517000000.0,103321100000.0,65644900000.0,1857200000.0,,,,,,198800000.0,,29268400000.0,,,15540000000.0,293310400000.0,494600000.0,175664900000.0,,,46601600000.0,158000000.0,,100000.0,29268400000.0,293111600000.0,320200000.0,5234500000.0,,282957358.0,6059000000.0,4718300000.0,290480800000.0,198800000.0,,1588100000.0,2000000.0,,28751400000.0,40200000.0,54032000000.0,54742800000.0,,,,,,282957358.0,293310400000.0,293111600000.0,,364670100000.0,293310400000.0,293310500000.0,71359600000.0,261349000000.0,5714700000.0,1717600000.0,,,,37676200000.0
