symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DerivativeProductLiabilities,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
TATAMOTORS.NS,2023-03-31,3M,INR,792517600000.0,157379700000.0,-1229047500000.0,143779500000.0,-8212400000.0,8277800000.0,24416700000.0,387805200000.0,84529700000.0,7660200000.0,318869500000.0,556297100000.0,236140600000.0,82728900000.0,7660200000.0,453217900000.0,55831200000.0,1515284700000.0,8844800000.0,399866700000.0,408711500000.0,1550273300000.0,118106600000.0,67328200000.0,55068900000.0,26860100000.0,4542300000.0,291712700000.0,8406000000.0,566919200000.0,165592100000.0,2129303400000.0,11574900000.0,407553900000.0,1765042700000.0,28959000000.0,81121000000.0,75684900000.0,911958100000.0,987643000000.0,46756600000.0,131965300000.0,1601765800000.0,72777200000.0,992955300000.0,900255900000.0,-113701300000.0,89202200000.0,51846700000.0,14069500000.0,3688700000.0,9604600000.0,3829847221.0,8634700000.0,1329100000.0,656800000.0,558513200000.0,10760000000.0,2600000.0,642100000.0,16759100000.0,2780200000.0,254803800000.0,237427600000.0,859860300000.0,46498800000.0,0.0,57433800000.0,6415100000.0,252510200000.0,3829847221.0,453217900000.0,-113701300000.0,57457500000.0,3360813800000.0,1365176000000.0,1396354500000.0,525995100000.0,2834818700000.0,1845529100000.0,1284545400000.0,50583600000.0,58407400000.0,-34988600000.0
TATAMOTORS.NS,2023-09-30,3M,INR,806750300000.0,170943300000.0,,,,7091000000.0,60651300000.0,,83958000000.0,7662100000.0,341402100000.0,630841800000.0,,,7662100000.0,536428900000.0,90906800000.0,1619489600000.0,9340600000.0,385983800000.0,395324400000.0,1642371100000.0,125719400000.0,,,,,,8438500000.0,591074400000.0,,901287000000.0,,459870000000.0,1731113900000.0,60651300000.0,,74617400000.0,808701200000.0,883318600000.0,47340100000.0,145360000000.0,,72378300000.0,853282900000.0,901287000000.0,-54645500000.0,,50729700000.0,19042700000.0,,,3830819896.0,100391900000.0,139111100000.0,528766800000.0,582635900000.0,31550000000.0,85859800000.0,105944000000.0,,810380200000.0,25368300000.0,289439700000.0,822654900000.0,,,,,,3830819896.0,536428900000.0,-54645500000.0,1069200000.0,3470019400000.0,1345130100000.0,1278643000000.0,608807200000.0,2861212200000.0,1850529800000.0,1218841100000.0,15904600000.0,,-22881500000.0
