symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
TATACOMM.NS,2023-03-31,3M,INR,32772100000.0,27349900000.0,-216312600000.0,7250100000.0,-5607500000.0,2563500000.0,1713000000.0,8216900000.0,10431600000.0,2850000000.0,10044800000.0,17693000000.0,1791600000.0,8253200000.0,2850000000.0,15182600000.0,10033700000.0,58109900000.0,2715800000.0,25249000000.0,27964800000.0,97859400000.0,1596100000.0,74400000.0,172700000.0,10100000.0,16600000.0,1150500000.0,17906600000.0,32957400000.0,310912300000.0,372700000.0,1600000000.0,90517400000.0,3970100000.0,1713000000.0,10196900000.0,1132500000.0,7715800000.0,50085800000.0,57801600000.0,10196900000.0,6875600000.0,281561200000.0,303400000.0,65290000000.0,94599700000.0,-2724000000.0,25208700000.0,3551700000.0,333100000.0,652100000.0,2283700000.0,285000000.0,6911200000.0,2205700000.0,12332600000.0,16756100000.0,1713000000.0,65300000.0,9900000.0,7530800000.0,9968000000.0,189500000.0,7648200000.0,47409600000.0,5680100000.0,5598300000.0,0.0,528300000.0,-19553300000.0,285000000.0,15182600000.0,-2724000000.0,2214700000.0,205526200000.0,65268400000.0,85766400000.0,15486000000.0,190040200000.0,147416300000.0,92180800000.0,7096600000.0,-39749500000.0
TATACOMM.NS,2023-09-30,3M,INR,32992800000.0,33976700000.0,,,,1098600000.0,3631800000.0,,11381800000.0,2850000000.0,4377400000.0,8661900000.0,,,2850000000.0,14532100000.0,13174600000.0,52219800000.0,3130800000.0,13150200000.0,16281000000.0,85192700000.0,1532100000.0,,,,,3716300000.0,21482100000.0,,97069300000.0,,493300000.0,91274000000.0,3859500000.0,3631800000.0,10580100000.0,,8251000000.0,63591700000.0,71842700000.0,10580100000.0,7278200000.0,,23600000.0,72364500000.0,97069300000.0,-6950000000.0,,3733300000.0,493000000.0,,,285000000.0,7989300000.0,16800400000.0,11682100000.0,17765800000.0,,1587100000.0,24577000000.0,,83894700000.0,,4284500000.0,40538000000.0,,,,,,285000000.0,14532100000.0,-6950000000.0,,205537200000.0,78123800000.0,88123700000.0,14555700000.0,190981500000.0,153317400000.0,105788800000.0,7545200000.0,-32972900000.0
