symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
SHREECEM.NS,2023-03-31,3M,INR,11960000000.0,12115700000.0,-102986800000.0,24236300000.0,-438800000.0,800000.0,12400000.0,16601300000.0,1848300000.0,360800000.0,461700000.0,35492200000.0,91700000.0,370000000.0,360800000.0,186364000000.0,27966100000.0,89679300000.0,471700000.0,19589700000.0,20061400000.0,67321200000.0,102600000.0,0.0,147900000.0,271500000.0,16560800000.0,1288100000.0,746700000.0,12554500000.0,205014900000.0,1119400000.0,36291700000.0,27596800000.0,211762400000.0,52864900000.0,26129200000.0,1376600000.0,5808700000.0,7185300000.0,339200000.0,134318300000.0,405600000.0,24936700000.0,102028100000.0,185617300000.0,0.0,1724100000.0,6822800000.0,7162500000.0,36080748.0,11150600000.0,8307000000.0,186003200000.0,746700000.0,598500000.0,8009300000.0,,1802700000.0,74062000000.0,10961100000.0,35030500000.0,19819000000.0,157700000.0,1793300000.0,0.0,21853600000.0,600000000.0,87163600000.0,36080748.0,186364000000.0,185617300000.0,263339400000.0,192172700000.0,27246700000.0,186769600000.0,76569800000.0,173660100000.0,9248600000.0,5908400000.0,3856600000.0,22358100000.0
SHREECEM.NS,2023-09-30,3M,INR,9094300000.0,16327200000.0,,,,,31526900000.0,,1835200000.0,360800000.0,941300000.0,55869200000.0,,,360800000.0,194953600000.0,34805100000.0,107357100000.0,372500000.0,9390500000.0,9763000000.0,59231200000.0,203100000.0,,,,,,852300000.0,,110763300000.0,,,22373700000.0,213165800000.0,31526900000.0,,1462700000.0,8821700000.0,10284400000.0,353300000.0,,405400000.0,17270900000.0,110763300000.0,194101300000.0,,,6770800000.0,,36080748.0,12742200000.0,13645700000.0,194592800000.0,,,8047500000.0,20400000.0,,75958200000.0,44800000.0,54927900000.0,13859000000.0,,,,,,,36080748.0,194953600000.0,194101300000.0,267156900000.0,203775300000.0,20047400000.0,195359000000.0,71797900000.0,159799800000.0,12566700000.0,4764700000.0,,48125900000.0
