symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
KPITTECH.NS,2023-03-31,3M,INR,1643350000.0,5924400000.0,-3214290000.0,-287800000.0,288060000.0,4776830000.0,2373160000.0,2703460000.0,4542130000.0,5877420000.0,845940000.0,3696190000.0,2703460000.0,16515380000.0,56430000.0,15015720000.0,508880000.0,489840000.0,998720000.0,11680540000.0,517250000.0,3410000.0,450000.0,155420000.0,10102570000.0,12374960000.0,6212200000.0,8008950000.0,0.0,587500000.0,17007480000.0,288510000.0,423900000.0,1864280000.0,2260000.0,1866540000.0,252220000.0,375450000.0,2751790000.0,117560000.0,4794660000.0,4140420000.0,174450000.0,0.0,698700000.0,600120000.0,139370000.0,270346390.0,516050000.0,997370000.0,270960000.0,2272390000.0,8000000.0,2814010000.0,4738230000.0,2106310000.0,1335290000.0,4919360000.0,512880000.0,0.0,333080000.0,3420000.0,11207220000.0,274143808.0,16515380000.0,4140420000.0,34005750000.0,16517640000.0,2865260000.0,16632940000.0,17372810000.0,18990030000.0,5692270000.0,458590000.0,3797418.0,99000000.0,3335180000.0
KPITTECH.NS,2023-09-30,3M,INR,2491950000.0,6926290000.0,,,532130000.0,,2604830000.0,2710130000.0,4735020000.0,6236710000.0,,,2710130000.0,18572190000.0,42180000.0,16549410000.0,549900000.0,1153250000.0,1703150000.0,13860680000.0,920020000.0,,,,11205760000.0,14211210000.0,,5035450000.0,,890500000.0,19726880000.0,532130000.0,,2054930000.0,1440000.0,2056370000.0,0.0,475560000.0,,131200000.0,5035450000.0,4360980000.0,,,766510000.0,698940000.0,,271012969.0,539480000.0,4777500000.0,15862060000.0,3005450000.0,23590000.0,,4993270000.0,1956430000.0,1501690000.0,3362510000.0,,,,,,274143808.0,18572190000.0,4360980000.0,37446000000.0,18573630000.0,3759520000.0,18703390000.0,18742610000.0,20896590000.0,4881930000.0,870560000.0,3130839.0,,2688730000.0
