symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAccruedExpenses,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredRevenue,CurrentLiabilities,CurrentNotesPayable,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GainsLossesNotAffectingRetainedEarnings,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LineOfCredit,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredLiabilities,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentBorrowings,OtherCurrentLiabilities,OtherEquityAdjustments,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherReceivables,OtherShortTermInvestments,Payables,PayablesAndAccruedExpenses,PrepaidAssets,Properties,RawMaterials,Receivables,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
DRREDDY.NS,2023-03-31,3M,INR,17857000000.0,72485000000.0,-85807000000.0,10241000000.0,-1258000000.0,282000000.0,29724000000.0,2282000000.0,833000000.0,5779000000.0,61797000000.0,2743000000.0,3036000000.0,833000000.0,230991000000.0,9956000000.0,21844000000.0,206940000000.0,1004000000.0,11190000000.0,12194000000.0,1981000000.0,1981000000.0,85845000000.0,,5454000000.0,378000000.0,20971000000.0,886000000.0,4245000000.0,35094000000.0,73743000000.0,152269000000.0,1232000000.0,48670000000.0,242181000000.0,660000000.0,5362000000.0,4318000000.0,0.0,1278000000.0,,1278000000.0,4702000000.0,59000000.0,108271000000.0,5411000000.0,66462000000.0,195897000000.0,7196000000.0,2388000000.0,1555000000.0,7196000000.0,833000000.0,668000000.0,166156732.0,7899000000.0,11190000000.0,3739000000.0,886000000.0,4707000000.0,30849000000.0,132000000.0,1293000000.0,20632000000.0,10718000000.0,56018000000.0,40633000000.0,62477000000.0,1452000000.0,0.0,16001000000.0,85890000000.0,,215593000000.0,166527876.0,230991000000.0,195897000000.0,2687000000.0,321854000000.0,230991000000.0,13472000000.0,230991000000.0,90863000000.0,114914000000.0,5018000000.0,2144000000.0,371144.0,1269000000.0,11698000000.0,121095000000.0
DRREDDY.NS,2023-06-30,3M,INR,27682000000.0,77095000000.0,,9986000000.0,-1258000000.0,388000000.0,,2252000000.0,833000000.0,6017000000.0,59049000000.0,2553000000.0,3464000000.0,833000000.0,245260000000.0,,,210259000000.0,1122000000.0,6468000000.0,7590000000.0,,,80767000000.0,0.0,5391000000.0,514000000.0,22982000000.0,864000000.0,4238000000.0,42306000000.0,78353000000.0,,1841000000.0,52398000000.0,255528000000.0,902000000.0,4904000000.0,,6468000000.0,1130000000.0,3800000000.0,4930000000.0,4002000000.0,60000000.0,,4251000000.0,67207000000.0,202954000000.0,9544000000.0,642000000.0,,9544000000.0,642000000.0,,166209937.0,18512000000.0,,35672000000.0,864000000.0,4738000000.0,38068000000.0,821000000.0,3382000000.0,,,53032000000.0,32114000000.0,32114000000.0,,,17366000000.0,77248000000.0,1211000000.0,230020000000.0,166555501.0,245260000000.0,202954000000.0,153000000.0,335041000000.0,249060000000.0,12520000000.0,245260000000.0,89781000000.0,124782000000.0,9014000000.0,4432000000.0,345564.0,1181000000.0,12050000000.0,129492000000.0
DRREDDY.NS,2023-09-30,3M,INR,30485000000.0,69722000000.0,,10798000000.0,-1280000000.0,1306000000.0,,3579000000.0,834000000.0,13391000000.0,67781000000.0,9468000000.0,3923000000.0,834000000.0,253086000000.0,,22544000000.0,217695000000.0,1336000000.0,5851000000.0,7187000000.0,3001000000.0,3001000000.0,84183000000.0,0.0,5239000000.0,549000000.0,21794000000.0,810000000.0,4223000000.0,41278000000.0,71002000000.0,,731000000.0,56592000000.0,262737000000.0,1855000000.0,5924000000.0,,5851000000.0,2243000000.0,3800000000.0,6043000000.0,4069000000.0,59000000.0,,,70478000000.0,211808000000.0,10835000000.0,1599000000.0,1497000000.0,10835000000.0,102000000.0,679000000.0,166485977.0,1000000.0,,3118000000.0,810000000.0,3439000000.0,37055000000.0,133000000.0,2052000000.0,8624000000.0,19673000000.0,54390000000.0,43094000000.0,65638000000.0,2750000000.0,,20654000000.0,89693000000.0,147000000.0,238226000000.0,166784764.0,253086000000.0,211808000000.0,298000000.0,347022000000.0,256886000000.0,13230000000.0,253086000000.0,93936000000.0,129327000000.0,9753000000.0,3985000000.0,298787.0,1021000000.0,14144000000.0,133512000000.0
DRREDDY.NS,2023-12-31,3M,INR,31113000000.0,78417000000.0,,10895000000.0,-1431000000.0,3458000000.0,,3708000000.0,834000000.0,7342000000.0,72357000000.0,1208000000.0,6134000000.0,834000000.0,267850000000.0,,23947000000.0,238477000000.0,1356000000.0,12343000000.0,13699000000.0,2269000000.0,2269000000.0,93600000000.0,0.0,5333000000.0,657000000.0,24154000000.0,762000000.0,4287000000.0,41192000000.0,79848000000.0,,296000000.0,60796000000.0,283993000000.0,4115000000.0,8333000000.0,,12343000000.0,2352000000.0,3800000000.0,6152000000.0,4218000000.0,61000000.0,,8801000000.0,72795000000.0,226658000000.0,10917000000.0,2433000000.0,1444000000.0,10917000000.0,989000000.0,689000000.0,166513363.0,4215000000.0,,3259000000.0,762000000.0,4293000000.0,36905000000.0,439000000.0,2746000000.0,9806000000.0,14755000000.0,65015000000.0,45093000000.0,69040000000.0,4542000000.0,,23123000000.0,96078000000.0,193000000.0,252078000000.0,166809397.0,267850000000.0,226658000000.0,2906000000.0,372842000000.0,271650000000.0,19851000000.0,267850000000.0,104992000000.0,134365000000.0,11392000000.0,4174000000.0,296034.0,1012000000.0,13519000000.0,144877000000.0
