symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherPayable,OtherProperties,Payables,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
AUBANK.NS,2023-03-31,3M,INR,3667754000.0,-6331922000.0,38057324000.0,25230825000.0,6667450000.0,94781102000.0,0.0,5268885000.0,6667450000.0,109773437000.0,328517000.0,13733316000.0,172759958000.0,200720099000.0,200720099000.0,62986521000.0,0.0,7401394000.0,109773437000.0,666745055.0,440252000.0,1927736000.0,12774709000.0,5595490000.0,109317000.0,630090000.0,7195265000.0,42871366000.0,666745055.0,109773437000.0,109773437000.0,902161184000.0,172759958000.0,62986521000.0,109773437000.0,792387747000.0
AUBANK.NS,2023-09-30,3M,INR,,,,,6682286000.0,62573279000.0,,41459921000.0,6682286000.0,117626843000.0,,,171068102000.0,232199326000.0,232199326000.0,53441259000.0,,7573646000.0,117626843000.0,668228624.0,514573000.0,,,,,,,,668228624.0,117626843000.0,117626843000.0,959774337000.0,171068102000.0,53441259000.0,117626843000.0,842147494000.0
