symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
PIIND.NS,2023-03-31,3M,INR,8380000000.0,7720000000.0,300000000.0,465000000.0,152000000.0,8727000000.0,32293000000.0,152000000.0,71985000000.0,625000000.0,56623000000.0,141000000.0,0.0,141000000.0,11818000000.0,278000000.0,828000000.0,1810000000.0,25569000000.0,13976000000.0,71985000000.0,300000000.0,324000000.0,0.0,324000000.0,258000000.0,103000000.0,25569000000.0,70175000000.0,,213000000.0,151675526.0,1890000000.0,735000000.0,71833000000.0,982000000.0,188000000.0,24944000000.0,744000000.0,23566000000.0,8434000000.0,151718118.0,71985000000.0,70175000000.0,84797000000.0,71985000000.0,465000000.0,71985000000.0,12812000000.0,28174000000.0,994000000.0,54000000.0,42592.0,44805000000.0
PIIND.NS,2023-09-30,3M,INR,12045000000.0,14643000000.0,926000000.0,548000000.0,152000000.0,6976000000.0,29598000000.0,152000000.0,79820000000.0,2368000000.0,63115000000.0,159000000.0,992000000.0,1151000000.0,18565000000.0,322000000.0,3597000000.0,6695000000.0,29782000000.0,13998000000.0,81081000000.0,926000000.0,389000000.0,269000000.0,658000000.0,297000000.0,300000000.0,29782000000.0,73125000000.0,63000000.0,152000000.0,151682006.0,2767000000.0,1253000000.0,79668000000.0,3098000000.0,347000000.0,27414000000.0,2109000000.0,22622000000.0,12400000000.0,151718118.0,79820000000.0,73125000000.0,101274000000.0,80089000000.0,1809000000.0,79820000000.0,21454000000.0,38159000000.0,2889000000.0,355000000.0,36112.0,44550000000.0
