symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherPayable,OtherProperties,Payables,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
IDFCFIRSTB.NS,2023-03-31,3M,INR,15029668000.0,-20444202000.0,173125074000.0,18949436000.0,66181218000.0,137786800000.0,10700925000.0,6538747000.0,66181218000.0,258475509000.0,2185750000.0,1396697000.0,1396697000.0,41774821000.0,830596429000.0,609132751000.0,609132751000.0,572120920000.0,0.0,0.0,434334120000.0,21330619000.0,257078812000.0,6618121816.0,371152000.0,11944379000.0,36715910000.0,26974047000.0,4404802000.0,2873161000.0,45359609000.0,-24294196000.0,6618121816.0,258475509000.0,257078812000.0,2398820511000.0,830596429000.0,572120920000.0,258475509000.0,2140345002000.0
IDFCFIRSTB.NS,2023-09-30,3M,INR,,,,,67224500000.0,130498000000.0,,109453300000.0,67224500000.0,277636700000.0,,1396600000.0,1396600000.0,,809291900000.0,629223600000.0,629223600000.0,531655200000.0,,0.0,401157200000.0,25164200000.0,276240100000.0,6722452365.0,523000000.0,,,,,,,,6722452365.0,277636700000.0,276240100000.0,2647203000000.0,809291900000.0,531655200000.0,277636700000.0,2369566300000.0
