symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
POLYCAB.NS,2023-03-31,3M,INR,20326440000.0,12465960000.0,-11558620000.0,7822560000.0,-1163080000.0,6430000.0,13107960000.0,363290000.0,1497650000.0,1527520000.0,20522650000.0,387530000.0,1139990000.0,1497650000.0,66311370000.0,3344490000.0,69087490000.0,138960000.0,1509350000.0,1648310000.0,26265610000.0,267570000.0,1560000.0,12833390000.0,46220000.0,203300000.0,13629040000.0,35369210000.0,8360000.0,29513840000.0,67862800000.0,6430000.0,0.0,1132980000.0,224330000.0,42080000.0,266410000.0,0.0,449740000.0,16267820000.0,373770000.0,23910000.0,23810590000.0,66108070000.0,139880000.0,13450000.0,422680000.0,355240000.0,149765278.0,286190000.0,654670000.0,315950000.0,157080000.0,379850000.0,1128090000.0,25300000.0,655620000.0,1515960000.0,417580000.0,18995130000.0,21995180000.0,24480000.0,5858660000.0,0.0,14103460000.0,14250000.0,56064540000.0,149765278.0,66311370000.0,66108070000.0,94254760000.0,66353450000.0,1914720000.0,66685140000.0,27569620000.0,25167270000.0,1304010000.0,1011560000.0,2197140000.0,42821880000.0
POLYCAB.NS,2023-06-30,3M,INR,16971800000.0,12867220000.0,-12097190000.0,7899790000.0,,178100000.0,13098960000.0,335210000.0,1498650000.0,1478200000.0,12919520000.0,474870000.0,1003330000.0,1498650000.0,67261780000.0,3213640000.0,67144330000.0,138710000.0,2149700000.0,2288410000.0,24122440000.0,268140000.0,,12986060000.0,46220000.0,233030000.0,,35558310000.0,,35009160000.0,69447560000.0,178100000.0,0.0,1146210000.0,196500000.0,36080000.0,232580000.0,0.0,556890000.0,16564840000.0,408850000.0,707580000.0,23461120000.0,67028750000.0,,21950000.0,407900000.0,,149864965.0,6242760000.0,3168710000.0,323460000.0,186810000.0,436440000.0,1410080000.0,209820000.0,,1534660000.0,105670000.0,11441320000.0,17876740000.0,,,0.0,18080770000.0,,56971560000.0,149864965.0,67261780000.0,67028750000.0,93264810000.0,67297860000.0,2520990000.0,67670630000.0,25594180000.0,26120480000.0,1471740000.0,904940000.0,3505890000.0,43021890000.0
POLYCAB.NS,2023-09-30,3M,INR,18846500000.0,13213310000.0,,,,282720000.0,,536890000.0,1500070000.0,2554140000.0,17357460000.0,,,1500070000.0,71951320000.0,3670520000.0,70800810000.0,175970000.0,1558020000.0,1733990000.0,24801350000.0,269830000.0,,,46220000.0,223720000.0,,24506770000.0,,34311730000.0,73542820000.0,282720000.0,,,360920000.0,33480000.0,394400000.0,0.0,551330000.0,,450770000.0,,24506770000.0,71727600000.0,,166540000.0,469980000.0,,150026067.0,5809820000.0,2356680000.0,70451250000.0,177500000.0,,2102970000.0,252480000.0,,20836250000.0,108490000.0,14803320000.0,19486390000.0,,,,,,,150026067.0,71951320000.0,71727600000.0,98999660000.0,71984800000.0,2128390000.0,72402090000.0,26597570000.0,28198850000.0,1796220000.0,639890000.0,,45999460000.0
