symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
APLAPOLLO.NS,2023-03-31,3M,INR,16049800000.0,1374400000.0,-5577000000.0,4036900000.0,-22500000.0,192700000.0,918300000.0,5804800000.0,900000.0,554700000.0,1227000000.0,3997000000.0,0.0,1227000000.0,554700000.0,30056100000.0,5692200000.0,25577700000.0,900000.0,4647900000.0,4648800000.0,197200000.0,21802500000.0,,5600000.0,10600000.0,6751700000.0,1375000000.0,1387300000.0,1396900000.0,35686400000.0,9900000.0,31500000.0,14798700000.0,38785300000.0,960400000.0,2693600000.0,0.0,4081300000.0,4081300000.0,217800000.0,21495800000.0,7502200000.0,30109400000.0,28668800000.0,1182200000.0,1176400000.0,217800000.0,410400000.0,277330814.0,-100000.0,278700000.0,18200000.0,12300000.0,362500000.0,2023500000.0,1182200000.0,263200000.0,24417200000.0,220000000.0,2770000000.0,16318600000.0,15000000.0,701500000.0,0.0,3929000000.0,2297800000.0,25093700000.0,277330814.0,30056100000.0,28668800000.0,1985800000.0,58516300000.0,34137400000.0,8730100000.0,30056100000.0,28460200000.0,32938600000.0,6657700000.0,197200000.0,3755500000.0,3775200000.0
APLAPOLLO.NS,2023-09-30,3M,INR,13201000000.0,1445400000.0,,,,0.0,730600000.0,,212500000.0,554700000.0,3652300000.0,9762200000.0,,,554700000.0,32803400000.0,3605000000.0,27648600000.0,20400000.0,5615500000.0,5635900000.0,,21412500000.0,15100000.0,,,,1375000000.0,1402100000.0,,30844600000.0,,,13633000000.0,44355600000.0,730600000.0,,192100000.0,5936700000.0,6128800000.0,233300000.0,,7899900000.0,30844600000.0,31401300000.0,,1214500000.0,,,277330814.0,2793700000.0,1495800000.0,32248700000.0,27100000.0,,2310700000.0,1201200000.0,,27239600000.0,14300000.0,6109900000.0,13853400000.0,15100000.0,,,,,,277330814.0,32803400000.0,31401300000.0,,62996900000.0,38740100000.0,11764700000.0,32803400000.0,30193500000.0,35348300000.0,8781000000.0,652400000.0,,6236100000.0
