symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
IOC.NS,2023-03-31,3M,INR,547341000000.0,162712100000.0,-695867800000.0,11091000000.0,-5215000000.0,9834300000.0,9298200000.0,220542600000.0,88622600000.0,137715600000.0,9963500000.0,124806100000.0,3465100000.0,6498400000.0,137715600000.0,1397202400000.0,491839500000.0,1588654900000.0,23853500000.0,768018800000.0,791872300000.0,998600000.0,2066583300000.0,101562800000.0,0.0,500100000.0,0.0,0.0,574755100000.0,10400000.0,70989100000.0,167927100000.0,2953027800000.0,2181200000.0,-2768700000.0,1211075800000.0,2798350600000.0,9298200000.0,408251700000.0,39294100000.0,64769100000.0,633129400000.0,697898500000.0,408251700000.0,13964400000.0,1938140200000.0,34941000000.0,1391184700000.0,2257160000000.0,1326213300000.0,10009300000.0,32065600000.0,168004200000.0,17758000000.0,13771560699.0,82200000.0,125431000000.0,1259486800000.0,70978700000.0,1098100000.0,40709500000.0,5013400000.0,214000000.0,263211400000.0,58348300000.0,114842600000.0,548237300000.0,18278500000.0,14431700000.0,0.0,529523200000.0,4177300000.0,14121238383.0,1397202400000.0,1326213300000.0,4417620900000.0,2030331800000.0,1489770800000.0,1432143400000.0,2985477500000.0,2828966000000.0,918894200000.0,182200000.0,349677684.0,108468100000.0,-477928400000.0
IOC.NS,2023-09-30,3M,INR,559561500000.0,127377400000.0,,,,11314700000.0,292630700000.0,,89513400000.0,137715600000.0,6491900000.0,177088200000.0,,,137715600000.0,1668164800000.0,516421600000.0,1593635400000.0,25023800000.0,527425800000.0,552449600000.0,,2031023800000.0,103653800000.0,,,,,,10400000.0,73336200000.0,,2355954000000.0,,,1222462000000.0,2732833200000.0,292630700000.0,,,64489600000.0,537242600000.0,601732200000.0,175523300000.0,14131700000.0,,41853500000.0,1058176500000.0,2355954000000.0,1594828600000.0,,,179025000000.0,,13771560699.0,51073600000.0,321059600000.0,1530449200000.0,73325800000.0,,42313400000.0,38065500000.0,,1839532400000.0,4319500000.0,170596300000.0,597968100000.0,,,,,,14121238383.0,1668164800000.0,1594828600000.0,4576233600000.0,2205407400000.0,1154181800000.0,1710018300000.0,2866215300000.0,2982598200000.0,835191500000.0,38406600000.0,349677684.0,,-437388400000.0
