symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,WorkInProcess,WorkingCapital
HEROMOTOCO.NS,2023-03-31,3M,INR,47601400000.0,27194700000.0,-56445900000.0,492200000.0,-1214700000.0,9766200000.0,34039400000.0,2543000000.0,399700000.0,2263000000.0,40604200000.0,0.0,2263000000.0,399700000.0,166555700000.0,1220900000.0,94353300000.0,346300000.0,2931500000.0,3277800000.0,60126200000.0,1926800000.0,342500000.0,24130000000.0,8731900000.0,11144100000.0,28409400000.0,111431000000.0,13788700000.0,17563900000.0,169688100000.0,47684900000.0,26187000000.0,1749600000.0,2196700000.0,200900000.0,2397600000.0,26187000000.0,2019400000.0,71463700000.0,1250600000.0,869400000.0,54985100000.0,155411600000.0,4857900000.0,1715600000.0,199839718.0,2694600000.0,2608600000.0,356300000.0,11144100000.0,230300000.0,400000.0,633400000.0,2957400000.0,6006000000.0,38341200000.0,48577300000.0,2253100000.0,0.0,8200800000.0,342300000.0,138627900000.0,199839718.0,166555700000.0,155411600000.0,389100000.0,239170300000.0,166756600000.0,5675400000.0,167806300000.0,71364000000.0,144817000000.0,11237800000.0,400900000.0,34227100000.0
HEROMOTOCO.NS,2023-09-30,3M,INR,59631700000.0,42294900000.0,,,,53062700000.0,,2503800000.0,399700000.0,3665600000.0,44024900000.0,,,399700000.0,176739700000.0,1750500000.0,110253300000.0,457100000.0,3937300000.0,4394400000.0,73542500000.0,1958200000.0,,,,8826200000.0,,57060400000.0,,20321600000.0,180744800000.0,53062700000.0,29816400000.0,,2046700000.0,67800000.0,2114500000.0,29816400000.0,2298500000.0,,1247400000.0,339500000.0,57060400000.0,167913500000.0,5409100000.0,,199868978.0,3386400000.0,5632200000.0,176340000000.0,8826200000.0,,1417500000.0,,55309900000.0,225500000.0,40359300000.0,59631700000.0,,,,,,199868978.0,176739700000.0,167913500000.0,,263111100000.0,176807500000.0,6508900000.0,177987100000.0,85124000000.0,152857800000.0,11581500000.0,,36710800000.0
