symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
ABFRL.NS,2023-03-31,3M,INR,38461200000.0,8864400000.0,-36013100000.0,34080600000.0,-281100000.0,108700000.0,66436600000.0,42673400000.0,9487900000.0,6926900000.0,8751200000.0,5014900000.0,1912000000.0,9487900000.0,33432900000.0,1456800000.0,71700500000.0,9211100000.0,7974000000.0,17185100000.0,70875100000.0,1333000000.0,7240800000.0,7200000.0,38825100000.0,23297000000.0,37811800000.0,9145500000.0,83795600000.0,6500000.0,42143800000.0,56483000000.0,36600000.0,108700000.0,735800000.0,175200000.0,33462300000.0,15076100000.0,48538400000.0,735800000.0,1117300000.0,15513700000.0,27100000.0,16123200000.0,47782500000.0,-4378900000.0,7600000.0,202000000.0,4085000000.0,2516800000.0,5619200000.0,943934711.0,2888400000.0,8066900000.0,5423800000.0,14514800000.0,340700000.0,1287500000.0,2532200000.0,3736700000.0,213300000.0,464800000.0,1824300000.0,42202000000.0,100000.0,8116900000.0,0.0,2250700000.0,83700000.0,-14695100000.0,948818850.0,33432900000.0,-4378900000.0,170412800000.0,48509000000.0,65723500000.0,33460000000.0,136952800000.0,98712300000.0,66077700000.0,4100000.0,4884139.0,1150000000.0,727300000.0,825400000.0
ABFRL.NS,2023-09-30,3M,INR,45320700000.0,17037300000.0,,,,2895400000.0,,53540900000.0,9491700000.0,2307900000.0,5423100000.0,,,9491700000.0,29393400000.0,1373300000.0,87266000000.0,11311800000.0,24325900000.0,35637700000.0,96536200000.0,1569100000.0,,,,33658700000.0,57315000000.0,,58877500000.0,,49534500000.0,77600200000.0,36300000.0,2895400000.0,735200000.0,,42229100000.0,23880900000.0,66110000000.0,735200000.0,1323800000.0,,5405000000.0,45898900000.0,58877500000.0,-27921600000.0,,,6087600000.0,4935100000.0,5067200000.0,944346612.0,14116000000.0,11150900000.0,19901700000.0,23656300000.0,,1085600000.0,2804200000.0,,57504200000.0,115000000.0,3115200000.0,45320700000.0,,1040100000.0,,,,,949193045.0,29393400000.0,-27921600000.0,219609600000.0,53274300000.0,101747700000.0,34798400000.0,184811200000.0,132343600000.0,88275000000.0,0.0,4846433.0,,,-9270200000.0
