symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
DEEPAKNTR.NS,2023-03-31,3M,INR,6617600000.0,13095200000.0,-7415000000.0,4343200000.0,-353900000.0,0.0,23900000.0,2152800000.0,183800000.0,272800000.0,376400000.0,4163800000.0,140100000.0,236300000.0,272800000.0,40899600000.0,2825900000.0,27390700000.0,29700000.0,114600000.0,144300000.0,0.0,7937600000.0,,16000000.0,900000.0,4711300000.0,463200000.0,13449100000.0,29376100000.0,8930700000.0,41444400000.0,24800000.0,,2287900000.0,154100000.0,430200000.0,584300000.0,,299700000.0,22109500000.0,168400000.0,21961100000.0,40436400000.0,1500000.0,1566200000.0,299700000.0,1439000000.0,136393041.0,796300000.0,475500000.0,,463200000.0,100000.0,758900000.0,19135300000.0,372800000.0,3787400000.0,7392500000.0,143700000.0,810200000.0,0.0,3181100000.0,18000000.0,35283200000.0,136393041.0,40899600000.0,40436400000.0,0.0,51287400000.0,41329800000.0,728600000.0,40899600000.0,10387800000.0,23896700000.0,2450200000.0,0.0,1038300000.0,19453100000.0
DEEPAKNTR.NS,2023-09-30,3M,INR,5124800000.0,12120600000.0,,,,,136700000.0,,141900000.0,272800000.0,151300000.0,5621900000.0,,,272800000.0,43419200000.0,4793000000.0,25758100000.0,94300000.0,131900000.0,226200000.0,,6882500000.0,138600000.0,,,,442900000.0,,24257500000.0,7255100000.0,43946300000.0,136700000.0,165600000.0,,47600000.0,395200000.0,442800000.0,165600000.0,325800000.0,,375800000.0,24257500000.0,42976300000.0,3500000.0,1612800000.0,,,136393041.0,752300000.0,429000000.0,43146400000.0,442900000.0,1826800000.0,,19464500000.0,8200000.0,5470600000.0,5231900000.0,,,,,,,136393041.0,43419200000.0,42976300000.0,,52683100000.0,43814400000.0,669000000.0,43419200000.0,9263900000.0,26925000000.0,2381400000.0,107100000.0,,18875600000.0
