symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherIntangibleAssets,OtherProperties,Payables,PreferredStock,PreferredStockEquity,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
UNIONBANK.NS,2023-03-31,3M,INR,60343341000.0,-88309869000.0,184259433000.0,111088502000.0,69387510000.0,1125988641000.0,313803615000.0,28416340000.0,68347475000.0,786995105000.0,221629000.0,61324225000.0,0.0,1918889000.0,174870735000.0,1107038554000.0,3433767410000.0,3437269558000.0,3634968000.0,320043449000.0,3502148000.0,0.0,86560866000.0,786116251000.0,6834747466.0,1918889000.0,171014138000.0,60343341000.0,1040035000.0,1040035000.0,124891415000.0,5832043000.0,6834747466.0,788035140000.0,785076216000.0,112690993000.0,12883571095000.0,1108078589000.0,320043449000.0,788035140000.0,12095535955000.0
UNIONBANK.NS,2023-06-30,3M,INR,,,,,69387500000.0,1085315000000.0,,559908400000.0,68347500000.0,817654200000.0,,,,,,1136378500000.0,3479933800000.0,3479933800000.0,,318724300000.0,,,84960100000.0,818694200000.0,6834747466.0,,,,1040000000.0,1040000000.0,,,6834747466.0,818694200000.0,817654200000.0,,12949244700000.0,1137418500000.0,318724300000.0,818694200000.0,12130550500000.0
UNIONBANK.NS,2023-09-30,3M,INR,,,,,75164500000.0,1098242200000.0,,532543300000.0,74124500000.0,903390400000.0,,,,,,1429915200000.0,3474696700000.0,3474696700000.0,,526524800000.0,,,85459300000.0,904430400000.0,7412448217.0,,,,1040000000.0,1040000000.0,,,7412448217.0,904430400000.0,903390400000.0,,13230470600000.0,1430955200000.0,526524800000.0,904430400000.0,12326040200000.0
UNIONBANK.NS,2023-12-31,3M,INR,,,,,75164500000.0,892704100000.0,,545491200000.0,74124500000.0,939670200000.0,,,,,,1312274600000.0,3409986400000.0,3409986400000.0,,372604400000.0,,,87152500000.0,940710200000.0,7412448217.0,,,,1040000000.0,1040000000.0,,,7412448217.0,940710200000.0,939670200000.0,,13594454600000.0,1313314600000.0,372604400000.0,940710200000.0,12653744400000.0
