symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DividendsPayable,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,InvestedCapital,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
TATATECH.NS,2023-03-31,3M,INR,6578030000.0,9517490000.0,-3718470000.0,113100000.0,-432170000.0,3260170000.0,2553550000.0,811340000.0,3480290000.0,4094660000.0,346030000.0,3134260000.0,811340000.0,29894710000.0,26460000.0,37974690000.0,405950000.0,405950000.0,19733920000.0,11900000.0,7629220000.0,7949840000.0,9949660000.0,6749340000.0,0.0,29894710000.0,0.0,33010000.0,2147600000.0,2147600000.0,0.0,3429700000.0,3030870000.0,21944870000.0,1520810000.0,233290000.0,922520000.0,405668530.0,9874690000.0,17280000.0,320620000.0,,30020000.0,14019460000.0,614370000.0,7236370000.0,339080000.0,3470370000.0,0.0,6511700000.0,25309510000.0,405668530.0,29894710000.0,21944870000.0,326160000.0,52014870000.0,29894710000.0,2553550000.0,29894710000.0,22120160000.0,14040180000.0,2386240000.0,616420000.0,5350000.0,18240770000.0
TATATECH.NS,2023-09-30,3M,INR,4795570000.0,10134130000.0,-4212950000.0,113100000.0,-442240000.0,3413230000.0,2598710000.0,811340000.0,3955980000.0,5198690000.0,555640000.0,3400340000.0,811340000.0,28531270000.0,0.0,36450340000.0,470430000.0,470430000.0,20465560000.0,9760000.0,7661680000.0,8069370000.0,10576370000.0,7379060000.0,430000.0,28531270000.0,0.0,33010000.0,2128280000.0,2128280000.0,0.0,3932820000.0,3166110000.0,20461900000.0,1859700000.0,291780000.0,1092260000.0,405668530.0,11755980000.0,34860000.0,407690000.0,-100000.0,24780000.0,12212880000.0,1242710000.0,5774870000.0,256130000.0,4653970000.0,0.0,4189100000.0,23444460000.0,405668530.0,28531270000.0,20461900000.0,29820000.0,51424170000.0,28531270000.0,2598710000.0,28531270000.0,22892900000.0,14973830000.0,2427340000.0,944760000.0,7280000.0,15984780000.0
