symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
GODREJPROP.NS,2023-03-31,3M,INR,33566200000.0,3593800000.0,-1153300000.0,-715600000.0,382900000.0,1240200000.0,190100000.0,1390100000.0,7148100000.0,29564600000.0,4446300000.0,2701800000.0,1390100000.0,92641900000.0,6554500000.0,201725100000.0,81100000.0,64001000000.0,64082100000.0,368700000.0,137861600000.0,27700000.0,0.0,6196600000.0,3874700000.0,700000.0,165000000.0,4309400000.0,9410100000.0,120734000000.0,156642900000.0,321900000.0,6579500000.0,7862500000.0,480800000.0,800000.0,109000000.0,0.0,109000000.0,8343300000.0,1485500000.0,229500000.0,56852900000.0,8256800000.0,92476900000.0,3315100000.0,160900000.0,0.0,278021444.0,1865300000.0,7565900000.0,72500000.0,164300000.0,-100000.0,100000.0,3598900000.0,129100000.0,33064900000.0,22416500000.0,37534100000.0,65800000.0,8154700000.0,0.0,289300000.0,4747800000.0,4103700000.0,278021444.0,92641900000.0,92476900000.0,231053000000.0,92641900000.0,64191100000.0,92871400000.0,138181600000.0,29327900000.0,320000000.0,369000000.0,50000000.0,116570000000.0,63863500000.0
GODREJPROP.NS,2023-09-30,3M,INR,30005600000.0,4018500000.0,,,6385300000.0,,159500000.0,1390100000.0,6837100000.0,54802400000.0,,,1390100000.0,94587000000.0,7726500000.0,264753700000.0,100200000.0,75865200000.0,75965400000.0,,172589300000.0,371600000.0,,,,700000.0,154100000.0,,9614400000.0,170287500000.0,197052200000.0,314100000.0,6385300000.0,7291200000.0,,,59300000.0,26600000000.0,26659300000.0,7291200000.0,,246600000.0,95628100000.0,9614400000.0,94432900000.0,3626500000.0,166400000.0,,278039638.0,17566700000.0,59060700000.0,93196900000.0,153400000.0,178600000.0,-2900000.0,,1887900000.0,18078600000.0,47965300000.0,30942200000.0,,,,,,,278039638.0,94587000000.0,94432900000.0,294323700000.0,121187000000.0,102624700000.0,94833600000.0,199490100000.0,29573000000.0,26900800000.0,936600000.0,,,92164400000.0
