symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
BPCL.NS,2023-03-31,3M,INR,243320000000.0,67237800000.0,-271147300000.0,66062200000.0,-2319700000.0,168000000.0,8004800000.0,126107600000.0,89214200000.0,21294500000.0,23127200000.0,67677700000.0,17855300000.0,5271900000.0,21294500000.0,535223600000.0,56450500000.0,560129300000.0,6562500000.0,190852500000.0,197415000000.0,748417100000.0,27292800000.0,310700000.0,236141600000.0,12039800000.0,127403000000.0,69557500000.0,1172984700000.0,187400000.0,100000.0,380691900000.0,1139769700000.0,100000.0,8004900000.0,26127500000.0,82651700000.0,413693600000.0,496345300000.0,217006500000.0,2082200000.0,499518000000.0,0.0,581418900000.0,901837400000.0,407820600000.0,19125100000.0,79205500000.0,585200000.0,11474300000.0,2162415796.0,21676500000.0,58232700000.0,-898200000.0,115363200000.0,412200000.0,13111200000.0,19125100000.0,5643000000.0,461875700000.0,9412600000.0,44550500000.0,249283500000.0,19790700000.0,2905400000.0,114059900000.0,838200000.0,93742900000.0,2169252744.0,535223600000.0,407820600000.0,14125000000.0,1881087700000.0,948917200000.0,693760300000.0,535223600000.0,1345864100000.0,1320958400000.0,597447000000.0,9800000.0,6836948.0,30078200000.0,-188287800000.0
BPCL.NS,2023-09-30,3M,INR,283688400000.0,57574600000.0,,,,441900000.0,14974000000.0,,88152600000.0,21294500000.0,60892400000.0,255131100000.0,,,21294500000.0,709824700000.0,71319200000.0,784142600000.0,4523100000.0,147746900000.0,152270000000.0,886785200000.0,28802000000.0,,,12039800000.0,130750800000.0,,906295200000.0,,,441134700000.0,1185024200000.0,100000.0,14974000000.0,,83629500000.0,327452600000.0,411082100000.0,210283600000.0,2051000000.0,,0.0,414307100000.0,906295200000.0,579073900000.0,,80497100000.0,,,2162415796.0,20242300000.0,163752800000.0,688530200000.0,118711000000.0,,13343300000.0,19148600000.0,,834976000000.0,1340300000.0,194238700000.0,327292700000.0,,,,,,2169252744.0,709824700000.0,579073900000.0,8277700000.0,2110034500000.0,1037277300000.0,563352100000.0,709824700000.0,1400209800000.0,1325891900000.0,513424600000.0,43604300000.0,6836948.0,,-102642600000.0
