symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentLiabilities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
HDFCAMC.NS,31-03-2023,3M,INR,356800000,1837400000,-1359900000,6550600000,49833500000,2308800000,1304700000,1067100000,44600000,11310700000,12300000,32300000,1067100000,61078600000,13907900000,2209200000,60400000,150200000,2735800000,61078600000,49833500000,1304700000,1304700000,125700000,423600000,0,1375900000,60928400000,1007700000,109500000,213424716,376300000,504500000,1113700000,89800000,51500000,-400000,3400000,70000000,11266100000,540700000,57100000,170300000,0,8900000,50597500000,213424716,61078600000,60928400000,304600000,65361400000,61078600000,1304700000,61078600000,4282800000,51453500000,2073600000,183900000,69300000,11698700000
HDFCAMC.NS,30-09-2023,3M,INR,466300000,2162600000,,,59562000000,,,1067400000,71500000,375400000,,,1067400000,60231200000,2978300000,889800000,60400000,148300000,,60231200000,59562000000,,,174900000,,0,1244000000,60082900000,885900000,,213484000,,,59163800000,87900000,356500000,482800000,,130700000,303900000,889800000,,,,,,213484000,60231200000,60082900000,309600000,64289100000,60231200000,,60231200000,4057900000,61310800000,3168100000,423500000,,2088500000
