symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
ALKEM.NS,2023-03-31,3M,INR,11650300000.0,21321800000.0,-11210800000.0,-438200000.0,1232600000.0,2600100000.0,8786000000.0,895300000.0,239100000.0,2738000000.0,29334100000.0,742100000.0,1995900000.0,239100000.0,90452900000.0,3102700000.0,87296800000.0,192000000.0,13071500000.0,13263500000.0,37071500000.0,3727500000.0,2000000.0,1619400000.0,16377000000.0,4131700000.0,4925500000.0,21760000000.0,36346200000.0,1426700000.0,26075300000.0,103524400000.0,5646200000.0,1369100000.0,703300000.0,0.0,703300000.0,3693600000.0,21709900000.0,3897100000.0,10333500000.0,25135400000.0,85527400000.0,88000000.0,13025000000.0,815300000.0,119565000.0,221100000.0,100000.0,6000000.0,793800000.0,-200000.0,-200000.0,3496800000.0,1378500000.0,1970100000.0,26596100000.0,15383500000.0,7134900000.0,0.0,8058400000.0,6900000.0,70519700000.0,119565000.0,90452900000.0,85527400000.0,137566300000.0,90452900000.0,13966800000.0,94350000000.0,43216300000.0,50269500000.0,6144800000.0,234400000.0,1639900000.0,50225300000.0
ALKEM.NS,2023-09-30,3M,INR,11720700000.0,24478200000.0,,,664400000.0,6036400000.0,,2017400000.0,239100000.0,3208200000.0,38349500000.0,,,239100000.0,98424900000.0,1808200000.0,96620600000.0,207400000.0,12412200000.0,12619600000.0,39121200000.0,4022000000.0,,,,4155600000.0,5014100000.0,,25844500000.0,,25414600000.0,110837100000.0,6036400000.0,,1810000000.0,,1810000000.0,4008100000.0,,3820500000.0,9204000000.0,25844500000.0,93410800000.0,,14315800000.0,,119565000.0,7611000000.0,1999100000.0,98185800000.0,858500000.0,699200000.0,278400000.0,,24036300000.0,102900000.0,35141300000.0,12326600000.0,,,,,,119565000.0,98424900000.0,93410800000.0,149256800000.0,98424900000.0,14429600000.0,102245400000.0,47011400000.0,52636200000.0,7890200000.0,605900000.0,,57499400000.0
