symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,WorkingCapital
RELIANCE.NS,2023-03-31,3M,INR,1471780000000.0,284510000000.0,2104370000000.0,204260000000.0,67660000000.0,747080000000.0,2234170000000.0,67660000000.0,8211530000000.0,1172590000000.0,4419780000000.0,41960000000.0,1315320000000.0,1357280000000.0,3965340000000.0,21800000000.0,136620000000.0,3292430000000.0,6878020000000.0,1400080000000.0,11358610000000.0,2104370000000.0,162300000000.0,1831760000000.0,1994060000000.0,16070000000.0,1130090000000.0,2400000000000.0,6878020000000.0,4919100000000.0,15430000000.0,603270000000.0,6766094014.0,498850000000.0,429310000000.0,8143870000000.0,3155810000000.0,409780000000.0,1137660000000.0,5705430000000.0,2170000000.0,1487090000000.0,1471780000000.0,6766094014.0,8211530000000.0,4919100000000.0,17135060000000.0,10043290000000.0,3351340000000.0,9341620000000.0,7793440000000.0,12715280000000.0,3828100000000.0,454440000000.0
RELIANCE.NS,2023-09-30,3M,INR,1581010000000.0,369360000000.0,1131190000000.0,210100000000.0,67660000000.0,688270000000.0,2016800000000.0,67660000000.0,7512220000000.0,1613440000000.0,4397440000000.0,42370000000.0,716690000000.0,759060000000.0,3775130000000.0,44000000000.0,149040000000.0,3490200000000.0,7365860000000.0,1462580000000.0,10469090000000.0,1131190000000.0,167730000000.0,2240180000000.0,2407910000000.0,21010000000.0,1260530000000.0,2268600000000.0,7365860000000.0,4022020000000.0,9400000000.0,655260000000.0,6766094014.0,526120000000.0,552400000000.0,7444560000000.0,3341160000000.0,412540000000.0,1117670000000.0,5752420000000.0,22580000000.0,1328530000000.0,1581010000000.0,6766094014.0,7512220000000.0,4022020000000.0,16822150000000.0,9752400000000.0,3166970000000.0,8772750000000.0,8049400000000.0,12424710000000.0,4274270000000.0,622310000000.0
