symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
RVNL.NS,2023-03-31,3M,INR,10805100000.0,9693000000.0,-1441400000.0,-7800000.0,1527500000.0,1732000000.0,334700000.0,20850200000.0,8366700000.0,8513700000.0,4143300000.0,4223400000.0,20850200000.0,73251200000.0,2565100000.0,90453400000.0,223200000.0,3772800000.0,3996000000.0,44421200000.0,699300000.0,3696900000.0,589300000.0,147300000.0,9700800000.0,7406600000.0,589300000.0,137329800000.0,1527500000.0,19723600000.0,2354800000.0,111500000.0,60305800000.0,60417300000.0,19723600000.0,318400000.0,754700000.0,,55711900000.0,5965200000.0,73103900000.0,137300000.0,60200000.0,2085020100.0,500000.0,15197300000.0,52401000000.0,147300000.0,6300000.0,596100000.0,4144100000.0,3400200000.0,25515200000.0,147000000.0,18646100000.0,282500000.0,32229300000.0,0.0,10019300000.0,51691000000.0,2085020100.0,73251200000.0,73103900000.0,120300000.0,184223300000.0,133557000000.0,64413300000.0,73251200000.0,110972100000.0,93769900000.0,66550900000.0,,331500000.0,46032200000.0
RVNL.NS,2023-09-30,3M,INR,1459700000.0,11368700000.0,,,21733300000.0,,236800000.0,20850200000.0,17765700000.0,61899900000.0,,,20850200000.0,79081700000.0,12700000.0,114283900000.0,207300000.0,4720000000.0,4927300000.0,69250700000.0,272400000.0,,1042600000.0,118000000.0,,3271400000.0,1042600000.0,138651900000.0,21733300000.0,20632800000.0,,29500000.0,54850200000.0,54879700000.0,20632800000.0,129400000.0,,3500000.0,41804500000.0,3271400000.0,78963700000.0,116100000.0,,2085020100.0,35211300000.0,48050500000.0,58231500000.0,118000000.0,4191400000.0,398600000.0,,3258700000.0,41300000.0,44134200000.0,1548300000.0,,,,,,2085020100.0,79081700000.0,78963700000.0,0.0,209321300000.0,133931900000.0,59807000000.0,79085200000.0,130236100000.0,95037400000.0,60985400000.0,88600000.0,,45033200000.0
