symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
LODHA.NS,2023-03-31,3M,INR,19665000000.0,7393000000.0,-7512000000.0,65624000000.0,-25000000.0,847000000.0,5604000000.0,117000000.0,4818000000.0,13108000000.0,14076000000.0,0.0,13108000000.0,4818000000.0,126626000000.0,0.0,357497000000.0,17000000.0,67918000000.0,67935000000.0,367000000.0,238588000000.0,79000000.0,575000000.0,55066000000.0,4333000000.0,5303000000.0,5307000000.0,7418000000.0,18940000000.0,465000000.0,301167000000.0,217112000000.0,1539000000.0,1887000000.0,6796000000.0,100000000.0,22568000000.0,22668000000.0,227000000.0,223100000.0,6417000000.0,596000000.0,77378000000.0,11428000000.0,121319000000.0,0.0,2432000000.0,332000000.0,223000000.0,254000000.0,963577748.0,9765100000.0,18164000000.0,1053000000.0,4000000.0,1000000.0,1477000000.0,123000000.0,10068000000.0,968000000.0,21913000000.0,17093000000.0,0.0,1044000000.0,5134000000.0,51533000000.0,963577748.0,126626000000.0,121319000000.0,2566000000.0,391549000000.0,149194000000.0,90603000000.0,127222000000.0,264327000000.0,34052000000.0,25739000000.0,771000000.0,1297000000.0,245057000000.0,118909000000.0
LODHA.NS,2023-09-30,3M,INR,21340000000.0,6827000000.0,,,,3377000000.0,,201000000.0,9644000000.0,11311000000.0,40202000000.0,,,9644000000.0,129886000000.0,,377024000000.0,48000000.0,61159000000.0,61207000000.0,,248933000000.0,82000000.0,,,,5303000000.0,5321000000.0,,11817000000.0,,311454000000.0,217088000000.0,1501000000.0,3377000000.0,,153000000.0,26043000000.0,26196000000.0,243000000.0,248000000.0,,613000000.0,75891000000.0,11817000000.0,124565000000.0,,1671000000.0,410000000.0,,,964370053.0,13904000000.0,117965000000.0,120242000000.0,18000000.0,943000000.0,,11817000000.0,4637000000.0,28891000000.0,21353000000.0,,,,,,964370053.0,129886000000.0,124565000000.0,,410216000000.0,155929000000.0,87403000000.0,130499000000.0,279717000000.0,33192000000.0,30784000000.0,13000000.0,1120000000.0,,128091000000.0
