symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,WorkingCapital
DLF.NS,2023-03-31,3M,INR,16437019000.0,5492336000.0,-9225397000.0,250869479000.0,-9296496000.0,5281891000.0,1708941000.0,7966615000.0,2309102000.0,4950623000.0,1655247000.0,24869445000.0,128340000.0,1526907000.0,4950623000.0,376875344000.0,611229000.0,257706924000.0,96201000.0,20534259000.0,20630460000.0,111847622000.0,357582000.0,39384000.0,2913312000.0,193637984000.0,9442534000.0,10858987000.0,14788832000.0,18143443000.0,-514299000.0,193612250000.0,407923010000.0,28688043000.0,4622253000.0,1011618000.0,185268249000.0,3839112000.0,2212901000.0,10513407000.0,12726308000.0,186279867000.0,,5726487000.0,43636000.0,29392419000.0,8918046000.0,366016357000.0,0.0,1175670000.0,13557577000.0,25743340000.0,500108000.0,26844921000.0,2475311706.0,,1966137000.0,6655000.0,1416453000.0,129507000.0,,2405758000.0,4211271000.0,,15142735000.0,23214198000.0,20687674000.0,10721647000.0,0.0,359058000.0,2586620000.0,92636379000.0,2475311706.0,376875344000.0,366016357000.0,539279908000.0,387388751000.0,33356768000.0,376918980000.0,162360928000.0,281572984000.0,50513306000.0,7941865000.0,145859302000.0
DLF.NS,2023-09-30,3M,INR,16730700000.0,5413900000.0,,,,5058200000.0,9313000000.0,,2311200000.0,4950600000.0,7801500000.0,45811600000.0,,,4950600000.0,378546300000.0,612000000.0,272901600000.0,89300000.0,21339600000.0,21428900000.0,130930700000.0,578100000.0,,,,9442500000.0,10832000000.0,,8641700000.0,,195695800000.0,409401400000.0,28933000000.0,9313000000.0,,,,2221900000.0,9515500000.0,11737400000.0,191451000000.0,527000000.0,,25800000.0,23053600000.0,8641700000.0,367714300000.0,,,12852900000.0,26743000000.0,,,2475311706.0,9992200000.0,85964400000.0,373595700000.0,1389500000.0,,14753400000.0,1513800000.0,,8029700000.0,10929900000.0,38010100000.0,16730700000.0,,,,,,2475311706.0,378546300000.0,367714300000.0,560576300000.0,388061800000.0,33166300000.0,378572100000.0,182004200000.0,287674700000.0,51073500000.0,7941900000.0,141970900000.0
