symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
HAVELLS.NS,2023-03-31,3M,INR,27071100000.0,9739400000.0,-12235900000.0,1481500000.0,105300000.0,1352400000.0,12346200000.0,2231000000.0,626500000.0,4651600000.0,20487800000.0,3635700000.0,1015900000.0,626500000.0,66254500000.0,2111200000.0,70661700000.0,361900000.0,0.0,361900000.0,38355400000.0,2749100000.0,22600000.0,26159500000.0,3104700000.0,13957900000.0,36625600000.0,37085800000.0,66254500000.0,1352400000.0,2592600000.0,1869100000.0,0.0,1869100000.0,1367200000.0,13908300000.0,24389700000.0,52296600000.0,41000000.0,3615100000.0,39000000.0,312400000.0,626467778.0,41900000.0,5000000.0,23000000.0,10853200000.0,399800000.0,789400000.0,4668000000.0,5667300000.0,1448300000.0,15836200000.0,32641200000.0,1215400000.0,1693500000.0,0.0,8870900000.0,59700000.0,56811600000.0,626509738.0,66254500000.0,52296600000.0,111574400000.0,66254500000.0,2231000000.0,66254500000.0,45319900000.0,40912700000.0,6964500000.0,879500000.0,5400000.0,41960.0,1655600000.0,32306300000.0
HAVELLS.NS,2023-09-30,3M,INR,21942500000.0,5413100000.0,,,13600000.0,2176600000.0,,2684900000.0,626700000.0,3199300000.0,23452400000.0,,,626700000.0,68992400000.0,1433700000.0,66966100000.0,509900000.0,,509900000.0,33870600000.0,2814500000.0,,,3104700000.0,13913000000.0,25907300000.0,35623500000.0,68992400000.0,2176600000.0,,2175000000.0,,2175000000.0,1184000000.0,,25907300000.0,55079400000.0,29100000.0,3626400000.0,,,626674350.0,2199200000.0,961400000.0,68365700000.0,10808300000.0,,721500000.0,,24473600000.0,264300000.0,20253100000.0,22527800000.0,,,,,,,626674350.0,68992400000.0,55079400000.0,110179500000.0,68992400000.0,2684900000.0,68992400000.0,41187100000.0,43213400000.0,7316500000.0,585300000.0,,0.0,,33095500000.0
