symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,WorkingCapital
BHEL.NS,2023-03-31,3M,INR,98958300000.0,31283500000.0,870900000.0,685100000.0,6964100000.0,15605200000.0,69208100000.0,6964100000.0,268280300000.0,3445900000.0,300822800000.0,347600000.0,53850000000.0,54197600000.0,233514400000.0,27966300000.0,765000000.0,27533300000.0,67559000000.0,322130300000.0,870900000.0,337500000.0,337500000.0,2322900000.0,41010200000.0,38244800000.0,27533300000.0,267515300000.0,34226200000.0,3482063355.0,130508400000.0,39622900000.0,261316200000.0,765000000.0,193001400000.0,26058200000.0,24087400000.0,53602900000.0,98958300000.0,3482063355.0,268280300000.0,267515300000.0,2263800000.0,593697900000.0,268280300000.0,54535100000.0,268280300000.0,325417600000.0,292875100000.0,91903200000.0,21940300000.0,67308400000.0
BHEL.NS,2023-09-30,3M,INR,84005200000.0,38660200000.0,1211800000.0,575000000.0,6964100000.0,11084900000.0,61923200000.0,6964100000.0,260824600000.0,3227200000.0,314404200000.0,288700000.0,89828900000.0,90117600000.0,256190100000.0,32104000000.0,878600000.0,27154400000.0,74818000000.0,350653500000.0,1211800000.0,286300000.0,286300000.0,2354300000.0,39224200000.0,78744000000.0,27154400000.0,259946000000.0,36576300000.0,3482063355.0,137379900000.0,37725200000.0,253860500000.0,878600000.0,190340400000.0,27256600000.0,23927200000.0,50838300000.0,84005200000.0,3482063355.0,260824600000.0,259946000000.0,1622900000.0,609191600000.0,260824600000.0,90403900000.0,260824600000.0,348367000000.0,294787400000.0,92176900000.0,21927400000.0,58214100000.0
