symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
PAGEIND.NS,2023-03-31,3M,INR,2876300000.0,1460670000.0,-2143560000.0,412010000.0,-29320000.0,204113000.0,2515300000.0,1581980000.0,111540000.0,6600000.0,6660000.0,6600000.0,111540000.0,13710480000.0,1831210000.0,19645930000.0,363980000.0,2481980000.0,2845960000.0,11935990000.0,322139000.0,2520000.0,11945740000.0,25870000.0,1489990000.0,8800630000.0,15952640000.0,16192460000.0,204113000.0,85460000.0,1218000000.0,1218000000.0,4368660000.0,2475380000.0,6657070000.0,13684610000.0,63630000.0,51190000.0,250860000.0,11153874.0,2136435000.0,356520000.0,13598940000.0,25870000.0,373706000.0,63631000.0,2293580000.0,4825861000.0,15670000.0,60000.0,5194440000.0,322140000.0,278150000.0,0.0,3574240000.0,74380000.0,12447030000.0,11153874.0,13710480000.0,13684610000.0,1857760000.0,26928100000.0,13710480000.0,4063960000.0,13710480000.0,13217620000.0,7282170000.0,1281630000.0,22040000.0,432660000.0,7709940000.0
PAGEIND.NS,2023-09-30,3M,INR,2569970000.0,1537013000.0,,,,202926000.0,,1861611000.0,111539000.0,1101096000.0,1212626000.0,,111539000.0,15299444000.0,1975028000.0,18430557000.0,430526000.0,0.0,430526000.0,9631105000.0,303063000.0,,,21404000.0,,6921416000.0,13618970000.0,15299444000.0,202926000.0,,1431085000.0,1431085000.0,,,6921416000.0,15278040000.0,,103744000.0,,11153874.0,2061948000.0,1043091000.0,15187905000.0,,419696000.0,58888000.0,,4946388000.0,,111530000.0,2971380000.0,16735000.0,,,,,,11153874.0,15299444000.0,15278040000.0,,26420522000.0,15299444000.0,1861611000.0,15299444000.0,11121078000.0,7989965000.0,1489973000.0,401410000.0,,8799452000.0
