symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
ASTRAL.NS,2023-03-31,3M,INR,8000000000.0,3545000000.0,-6914000000.0,3976000000.0,-134000000.0,1953000000.0,226000000.0,5431000000.0,98000000.0,269000000.0,5295000000.0,6820000000.0,4572000000.0,723000000.0,269000000.0,27112000000.0,1261000000.0,22492000000.0,49000000.0,457000000.0,506000000.0,13337000000.0,26000000.0,1000000.0,0.0,3682000000.0,12000000.0,3125000000.0,4938000000.0,3679000000.0,22742000000.0,0.0,8746000000.0,27885000000.0,0.0,0.0,3460000000.0,49000000.0,316000000.0,365000000.0,0.0,31000000.0,12552000000.0,2477000000.0,15828000000.0,22174000000.0,110000000.0,409000000.0,31000000.0,359000000.0,268611572.0,947000000.0,647000000.0,20000000.0,1813000000.0,135000000.0,2779000000.0,38000000.0,284000000.0,1525000000.0,10860000000.0,26000000.0,961000000.0,0.0,4459000000.0,1000000.0,22457000000.0,268611572.0,27112000000.0,22174000000.0,182000000.0,43731000000.0,27428000000.0,871000000.0,29589000000.0,14142000000.0,21239000000.0,805000000.0,80000000.0,605000000.0,9155000000.0
ASTRAL.NS,2023-09-30,3M,INR,7153000000.0,3219000000.0,,,,,260000000.0,,204000000.0,269000000.0,5329000000.0,5449000000.0,,,269000000.0,29022000000.0,2051000000.0,19744000000.0,78000000.0,508000000.0,586000000.0,11513000000.0,50000000.0,,,,,3125000000.0,4770000000.0,,18112000000.0,,9738000000.0,29796000000.0,260000000.0,,,126000000.0,266000000.0,392000000.0,,39000000.0,,1906000000.0,18112000000.0,24252000000.0,19000000.0,408000000.0,,,268619291.0,919000000.0,533000000.0,28753000000.0,1645000000.0,373000000.0,,16061000000.0,205000000.0,120000000.0,7245000000.0,,,,,,,268619291.0,29022000000.0,24252000000.0,214000000.0,43280000000.0,29288000000.0,978000000.0,30928000000.0,12352000000.0,23536000000.0,839000000.0,92000000.0,,8231000000.0
