symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkingCapital
ABB.NS,2023-06-30,3M,INR,31139000000.0,23929200000.0,88300000.0,417700000.0,423800000.0,12957700000.0,43915700000.0,423800000.0,53685000000.0,741500000.0,89522500000.0,282700000.0,282700000.0,49455700000.0,4239800000.0,146200000.0,172800000.0,9865800000.0,16170600000.0,53685000000.0,88300000.0,135000000.0,135000000.0,,9865800000.0,53512200000.0,866900000.0,1256300000.0,211908375.0,5468300000.0,8356900000.0,53261200000.0,26600000.0,,1581100000.0,9124300000.0,38700000.0,30958000000.0,31560800000.0,211908375.0,53685000000.0,53512200000.0,103353700000.0,53685000000.0,417700000.0,53685000000.0,49668700000.0,13831200000.0,213000000.0,421800000.0,,40066800000.0
ABB.NS,2023-12-31,3M,INR,31090800000.0,25443000000.0,72700000.0,489800000.0,423800000.0,8768800000.0,49894200000.0,423800000.0,59446000000.0,599200000.0,95474900000.0,200500000.0,200500000.0,50141600000.0,4451800000.0,146200000.0,184600000.0,10354100000.0,15607600000.0,59446000000.0,72700000.0,289300000.0,289300000.0,56300000.0,10354100000.0,59261400000.0,1027000000.0,,211908375.0,4476100000.0,9948300000.0,59022200000.0,38400000.0,15600000.0,1513600000.0,9754900000.0,54000000.0,41125400000.0,31514200000.0,211908375.0,59446000000.0,59261400000.0,110011900000.0,59446000000.0,489800000.0,59446000000.0,50565900000.0,14537000000.0,424300000.0,423400000.0,0.0,45333300000.0
