symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
ESCORTS.NS,2023-03-31,3M,INR,9495700000.0,11796500000.0,-12464700000.0,33289800000.0,-381800000.0,189700000.0,1889500000.0,4532800000.0,573000000.0,1319400000.0,1821500000.0,20800400000.0,1100500000.0,721000000.0,1319400000.0,81867100000.0,847400000.0,49034100000.0,123900000.0,123900000.0,17159000000.0,1045200000.0,20600000.0,4925700000.0,733600000.0,12178300000.0,31134900000.0,0.0,27839000000.0,12176800000.0,81867100000.0,798000000.0,29728500000.0,11091100000.0,449100000.0,449100000.0,1868400000.0,420900000.0,14663600000.0,-38800000.0,18670200000.0,81133500000.0,79200000.0,4100000.0,646400000.0,752400000.0,129765374.0,50200000.0,577400000.0,123000000.0,733600000.0,902300000.0,1121700000.0,79200000.0,1670800000.0,17822800000.0,97200000.0,18978900000.0,11209600000.0,2055400000.0,0.0,5731500000.0,1867900000.0,40994800000.0,131940604.0,81867100000.0,81133500000.0,100852300000.0,81867100000.0,573000000.0,81828300000.0,19024000000.0,51818200000.0,1865000000.0,22500000.0,2175230.0,2164200000.0,617300000.0,31875100000.0
ESCORTS.NS,2023-09-30,3M,INR,13324100000.0,11528900000.0,,,,183000000.0,28898300000.0,,533200000.0,1105000000.0,889200000.0,27718000000.0,,,1105000000.0,86312200000.0,582300000.0,53936200000.0,127500000.0,127500000.0,18106100000.0,1096400000.0,,,734600000.0,,18277300000.0,,,12471300000.0,86312200000.0,783900000.0,28898300000.0,,405700000.0,405700000.0,1826400000.0,432800000.0,,-39200000.0,18277300000.0,85577600000.0,,5100000.0,899000000.0,,108380831.0,2035000000.0,2150400000.0,85207200000.0,734600000.0,,1980400000.0,73500000.0,,17695000000.0,,26828800000.0,13677600000.0,,,,,,110498261.0,86312200000.0,85577600000.0,106452100000.0,86312200000.0,533200000.0,86273000000.0,20179100000.0,52515900000.0,2073000000.0,353500000.0,2117430.0,,,35830100000.0
