symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
COALINDIA.NS,2023-03-31,3M,INR,85491800000.0,130604800000.0,193856900000.0,2166900000.0,61627300000.0,56653800000.0,466928200000.0,61627300000.0,572448900000.0,152626200000.0,1080827000000.0,596900000.0,84800000.0,681700000.0,687346400000.0,,49474600000.0,597105900000.0,81546800000.0,613596200000.0,193856900000.0,1570000000.0,41062500000.0,42632500000.0,,7706800000.0,646354400000.0,522974300000.0,41770000000.0,13306800000.0,688279500000.0,6162728327.0,314349300000.0,323139400000.0,510821600000.0,49474600000.0,96061500000.0,68269900000.0,444479700000.0,207900000.0,410274400000.0,85739600000.0,149633800000.0,6162728327.0,572448900000.0,522974300000.0,87190000000.0,2112066500000.0,613511400000.0,43314200000.0,580155700000.0,1531910800000.0,1031239500000.0,844564400000.0,247800000.0,393480600000.0
COALINDIA.NS,2023-09-30,3M,INR,75954000000.0,156043300000.0,194852100000.0,2211500000.0,61627300000.0,86985800000.0,458351300000.0,61627300000.0,696858300000.0,161429100000.0,1097288500000.0,636500000.0,15657700000.0,16294200000.0,602554500000.0,74606200000.0,56687600000.0,630168300000.0,67722100000.0,757777400000.0,194852100000.0,1575000000.0,45261400000.0,46836400000.0,706591700000.0,8190400000.0,681151100000.0,640170700000.0,38418300000.0,14029100000.0,,6162728327.0,328325900000.0,307837600000.0,635231000000.0,56687600000.0,108943900000.0,71907400000.0,468739200000.0,216800000.0,371365500000.0,75954000000.0,,6162728327.0,696858300000.0,640170700000.0,86629100000.0,2181355400000.0,742119700000.0,63130600000.0,705048700000.0,1476306700000.0,1084066900000.0,873752200000.0,0.0,494734000000.0
