symbol,asOfDate,periodType,currencyCode,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermProvisions,MinorityInterest,NetPPE,NetTangibleAssets,OrdinarySharesNumber,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
LICI.NS,2023-03-31,3M,INR,42336503746000.0,63249977000.0,454985973000.0,454985973000.0,63249977000.0,462328678000.0,462328678000.0,42336503746000.0,42336503746000.0,149462161000.0,1171004000.0,38367334000.0,462328678000.0,6324997701.0,0.0,6324997701.0,462328678000.0,462328678000.0,45784913543000.0,462328678000.0,463499682000.0,45321413861000.0
LICI.NS,2023-09-30,3M,INR,45762996185000.0,63249977000.0,371873770000.0,371873770000.0,63249977000.0,620525397000.0,620525397000.0,45762996185000.0,45762996185000.0,149462077000.0,1161192000.0,39005888000.0,620525397000.0,6324997701.0,,6324997701.0,620525397000.0,620525397000.0,49244955558000.0,620525397000.0,621686589000.0,48623268969000.0
