symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
JINDALSTEL.NS,2023-03-31,3M,INR,47004400000.0,9744700000.0,-246437000000.0,20322000000.0,-3025100000.0,172800000.0,31100000.0,79763600000.0,6110200000.0,1005000000.0,41834200000.0,50892300000.0,32158700000.0,9675500000.0,1005000000.0,387065500000.0,71059000000.0,154756800000.0,355600000.0,52276600000.0,52632200000.0,2143800000.0,154986900000.0,970700000.0,13800000.0,1117100000.0,18716200000.0,1599200000.0,554100000.0,8858600000.0,12769800000.0,751695600000.0,8200000.0,58867800000.0,511418400000.0,1148200000.0,200800000.0,92900000.0,56501300000.0,5754600000.0,72076300000.0,77830900000.0,293700000.0,3496800000.0,437977600000.0,3125300000.0,82518700000.0,505258600000.0,378206900000.0,59366100000.0,20596400000.0,1020088097.0,25206400000.0,8900000.0,598700000.0,8304500000.0,300000.0,19930100000.0,400000.0,25682100000.0,23566200000.0,2815900000.0,9058100000.0,72700300000.0,28330500000.0,82827900000.0,38643800000.0,3924600000.0,351994500000.0,1020088097.0,387065500000.0,378206900000.0,18200000.0,694272300000.0,459141800000.0,130463100000.0,390190800000.0,304081500000.0,539515300000.0,149094600000.0,2143800000.0,4584200000.0,1507500000.0,-230100000.0
JINDALSTEL.NS,2023-09-30,3M,INR,45559800000.0,7092600000.0,,,,154600000.0,6577100000.0,,5982300000.0,1005000000.0,35481600000.0,57813000000.0,,,1005000000.0,415014400000.0,105041900000.0,151094100000.0,241200000.0,51291400000.0,51532600000.0,,147730400000.0,987500000.0,,,,,554100000.0,34376800000.0,,507915000000.0,,53103700000.0,543705600000.0,6577100000.0,,,,5741100000.0,77399800000.0,83140900000.0,,4393600000.0,,3221900000.0,93209600000.0,507915000000.0,380637600000.0,59536500000.0,,1020088097.0,29483300000.0,28517000000.0,414009400000.0,33822700000.0,,20532300000.0,,,402873100000.0,783500000.0,22331400000.0,45562400000.0,,,,,,1020088097.0,415014400000.0,380637600000.0,2663400000.0,722120800000.0,492414200000.0,134673500000.0,418236300000.0,303884500000.0,571026700000.0,156154100000.0,2600000.0,18400000.0,,3363700000.0
