symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradingSecurities,WorkInProcess,WorkingCapital
MARUTI.NS,2023-03-31,3M,INR,117855000000.0,33014000000.0,-200620000000.0,4241000000.0,-30000000.0,492438000000.0,32056000000.0,315000000.0,1510000000.0,373000000.0,939000000.0,373000000.0,1510000000.0,617913000000.0,28152000000.0,116156000000.0,66000000.0,12158000000.0,12224000000.0,201073000000.0,9624000000.0,43000000.0,15115000000.0,6368000000.0,33044000000.0,401597000000.0,0.0,42835000000.0,630071000000.0,458525000000.0,15245000000.0,16727000000.0,1346000000.0,67572000000.0,249000000.0,249000000.0,33318000000.0,884000000.0,270138000000.0,0.0,11785000000.0,200977000000.0,611545000000.0,25850000000.0,2794000000.0,9642000000.0,302080060.0,1713000000.0,7153000000.0,616403000000.0,6368000000.0,1587000000.0,12438000000.0,25850000000.0,9349000000.0,3679000000.0,26507000000.0,566000000.0,138831000000.0,11105000000.0,0.0,24037000000.0,43000000.0,556071000000.0,302080060.0,617913000000.0,611545000000.0,845969000000.0,617913000000.0,12473000000.0,617913000000.0,228056000000.0,729813000000.0,26983000000.0,11584000000.0,458525000000.0,2096000000.0,-84917000000.0
MARUTI.NS,2023-09-30,3M,INR,138384000000.0,44619000000.0,,,,516300000000.0,,294000000.0,1510000000.0,4916000000.0,32929000000.0,,1510000000.0,657931000000.0,26324000000.0,144023000000.0,59000000.0,3631000000.0,3690000000.0,217226000000.0,10843000000.0,,,6369000000.0,,208333000000.0,,47665000000.0,661562000000.0,516300000000.0,,,,,235000000.0,235000000.0,,937000000.0,,,,208333000000.0,651562000000.0,,1032000000.0,,302080060.0,18532000000.0,32375000000.0,656421000000.0,6369000000.0,,22995000000.0,28438000000.0,,182009000000.0,278000000.0,28013000000.0,152695000000.0,,,,,,302080060.0,657931000000.0,651562000000.0,904767000000.0,657931000000.0,3925000000.0,657931000000.0,246836000000.0,760744000000.0,29610000000.0,14311000000.0,,,-73203000000.0
