symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
ATGL.NS,2023-03-31,3M,INR,4232400000.0,2697800000.0,-5251000000.0,-41700000.0,125000000.0,1922400000.0,502000000.0,1099800000.0,120400000.0,521800000.0,120400000.0,1099800000.0,29409600000.0,16160400000.0,8580400000.0,59100000.0,11035300000.0,11094400000.0,0.0,21933700000.0,114200000.0,600000.0,78700000.0,254900000.0,341600000.0,2739500000.0,44444500000.0,909600000.0,43128500000.0,125000000.0,6697600000.0,1738100000.0,442900000.0,2683600000.0,3126500000.0,6697600000.0,57000000.0,24623600000.0,0.0,13598500000.0,39193500000.0,29068000000.0,1757600000.0,57000000.0,1351900000.0,1099810083.0,715500000.0,170900000.0,28309800000.0,86700000.0,1168800000.0,1243700000.0,23033100000.0,539100000.0,401400000.0,5476700000.0,114200000.0,715500000.0,0.0,830900000.0,3196600000.0,26778900000.0,1099810083.0,29409600000.0,29068000000.0,56453000000.0,32093200000.0,14220900000.0,29409600000.0,27043400000.0,47872600000.0,5109700000.0,0.0,168600000.0,-13353300000.0
ATGL.NS,2023-09-30,3M,INR,3422200000.0,3734300000.0,,,333600000.0,,523100000.0,1099800000.0,224300000.0,3886600000.0,,1099800000.0,32357300000.0,16405700000.0,8895800000.0,64400000.0,10943800000.0,11008200000.0,,22429600000.0,127300000.0,,,254900000.0,464400000.0,,41123400000.0,846400000.0,45398400000.0,333600000.0,,,458700000.0,2097300000.0,2556000000.0,6835700000.0,70200000.0,,0.0,12816800000.0,41123400000.0,31892900000.0,1932900000.0,,,1099810083.0,425900000.0,604200000.0,31257500000.0,209500000.0,1584500000.0,,24717700000.0,2600000.0,3662300000.0,3528200000.0,,,,,,,1099810083.0,32357300000.0,31892900000.0,59426000000.0,34454600000.0,13564200000.0,32357300000.0,27068700000.0,50530200000.0,4639100000.0,106000000.0,,-13533800000.0
