symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,DerivativeProductLiabilities,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,Payables,PrepaidAssets,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable
CHOLAFIN.NS,2023-03-31,3M,INR,1716100000.0,-4067400000.0,29459900000.0,30933200000.0,4185800000.0,1644800000.0,20357200000.0,326800000.0,1644800000.0,143461000000.0,357400000.0,1342700000.0,7600000.0,174400000.0,526200000.0,8171700000.0,1117036000000.0,1300000.0,33836200000.0,38346700000.0,76400000.0,4434100000.0,395600000.0,975243900000.0,4510500000.0,2385600000.0,953217800000.0,4104300000.0,142934800000.0,822040356.0,833800000.0,526200000.0,10642100000.0,847300000.0,12365800000.0,526800000.0,13482500000.0,27710500000.0,822040356.0,143461000000.0,142934800000.0,2825400000.0,1136269000000.0,1117036000000.0,975243900000.0,143461000000.0,992808000000.0,
CHOLAFIN.NS,2023-09-30,3M,INR,33800000.0,,,33550700000.0,,1645700000.0,78881200000.0,,1645700000.0,158072500000.0,0.0,1428400000.0,,,432000000.0,4571900000.0,1352781500000.0,1300000.0,36426200000.0,40822300000.0,100000.0,4396000000.0,,1194709000000.0,4396100000.0,,1115827800000.0,4571900000.0,157640500000.0,822504192.0,156426800000.0,432000000.0,15785400000.0,4571900000.0,15989200000.0,,8582000000.0,,822504192.0,158072500000.0,157640500000.0,4038600000.0,1375880800000.0,1352781500000.0,1194709000000.0,158072500000.0,1217808300000.0,170000000.0
